"id_kuantitas";"id_berita";"id_kalimat";"kuantitas";"isValid";"id_submitter";"date_submit";"time_submit"
"72";"21";"793";"Tidak Ada";"1";"31";"2018-08-25";"15:02:53"
"73";"21";"794";"Tidak Ada";"1";"31";"2018-08-25";"15:04:12"
"74";"21";"795";"Tidak Ada";"1";"31";"2018-08-25";"15:05:21"
"75";"21";"796";"Tidak Ada";"1";"31";"2018-08-25";"15:06:24"
"76";"21";"797";"Tidak Ada";"1";"31";"2018-08-25";"15:07:24"
"77";"21";"798";"Tidak Ada";"1";"31";"2018-08-25";"15:08:25"
"78";"21";"799";"Tidak Ada";"1";"31";"2018-08-25";"15:14:19"
"79";"21";"800";"Tidak Ada";"1";"31";"2018-08-25";"15:15:15"
"80";"21";"801";"Tidak Ada";"1";"31";"2018-08-25";"15:17:00"
"81";"21";"802";"Tidak Ada";"1";"31";"2018-08-25";"15:17:46"
"82";"23";"852";"Tidak Ada";"2";"35";"2018-08-25";"15:55:42"
"83";"23";"853";"Tidak Ada";"2";"35";"2018-08-25";"16:02:36"
"84";"23";"854";"Tidak Ada";"2";"35";"2018-08-25";"16:06:15"
"85";"23";"855";"Tidak Ada";"2";"35";"2018-08-25";"16:07:37"
"86";"23";"856";"Tidak Ada";"2";"35";"2018-08-25";"16:10:26"
"87";"23";"857";"empat gelar juara";"2";"35";"2018-08-25";"16:11:36"
"88";"23";"858";"enam gelar juara dunia";"2";"35";"2018-08-25";"16:13:41"
"89";"23";"859";"gelar juara untuk keenam kali";"2";"35";"2018-08-25";"16:16:31"
"90";"23";"860";"8 gelar";"2";"35";"2018-08-25";"16:21:12"
"91";"23";"860";"7";"2";"35";"2018-08-25";"16:21:18"
"92";"23";"860";"8";"2";"35";"2018-08-25";"16:21:23"
"93";"109";"4445";"Tidak Ada";"2";"32";"2018-08-25";"16:44:05"
"94";"109";"4446";"ketiga";"2";"32";"2018-08-25";"16:49:24"
"95";"109";"4447";"Tidak Ada";"2";"32";"2018-08-25";"16:50:28"
"96";"109";"4448";"Tidak Ada";"2";"32";"2018-08-25";"16:52:12"
"97";"109";"4449";"Tidak Ada";"2";"32";"2018-08-25";"16:53:43"
"98";"23";"861";"masih muda";"2";"35";"2018-08-25";"16:57:26"
"99";"109";"4450";"Tidak Ada";"2";"32";"2018-08-25";"16:58:19"
"100";"109";"4451";"9 bulan";"2";"32";"2018-08-25";"16:59:44"
"101";"23";"862";"lima kali";"2";"35";"2018-08-25";"17:00:12"
"102";"109";"4452";"3,5 tahun";"2";"32";"2018-08-25";"17:02:56"
"103";"109";"4453";"Tidak Ada";"2";"32";"2018-08-25";"17:06:10"
"104";"23";"863";"Tidak Ada";"2";"35";"2018-08-25";"17:23:21"
"105";"23";"864";"Tidak Ada";"2";"35";"2018-08-25";"17:24:23"
"106";"23";"865";"Tidak Ada";"2";"35";"2018-08-25";"17:28:44"
"107";"23";"866";"keempat kali";"2";"35";"2018-08-25";"17:32:21"
"108";"23";"867";"sembilan";"2";"35";"2018-08-25";"17:35:45"
"109";"23";"868";"ketiga";"2";"35";"2018-08-25";"17:37:57"
"110";"23";"869";"23";"2";"35";"2018-08-25";"17:38:46"
"111";"35";"1566";"17 kamera";"2";"34";"2018-08-27";"11:10:53"
"112";"35";"1566";"10 kamera";"2";"34";"2018-08-27";"11:11:00"
"113";"35";"1566";"23 kamera";"2";"34";"2018-08-27";"11:11:07"
"114";"35";"1566";"20MP";"2";"34";"2018-08-27";"11:13:30"
"115";"35";"1566";"1MP";"2";"34";"2018-08-27";"11:13:39"
"116";"35";"1567";"satu hal";"2";"34";"2018-08-27";"11:20:46"
"117";"35";"1568";"Tidak Ada";"2";"34";"2018-08-27";"11:23:48"
"118";"35";"1569";"Tidak Ada";"2";"34";"2018-08-27";"11:25:22"
"119";"197";"8572";"Tidak Ada";"2";"35";"2018-08-27";"13:21:09"
"120";"22";"842";"Tidak Ada";"2";"37";"2018-08-27";"17:24:05"
"121";"22";"843";"Tidak Ada";"2";"37";"2018-08-27";"17:37:57"
"122";"22";"844";"Tidak Ada";"2";"37";"2018-08-27";"17:55:13"
"123";"22";"845";"Tidak Ada";"2";"37";"2018-08-27";"17:56:53"
"124";"22";"846";"Tidak Ada";"2";"37";"2018-08-27";"18:00:37"
"125";"23";"870";"Tidak Ada";"2";"35";"2018-08-27";"18:05:08"
"126";"23";"871";"urutan lima";"2";"35";"2018-08-27";"18:06:54"
"127";"197";"8572";"Tidak Ada";"2";"40";"2018-08-27";"18:11:55"
"128";"197";"8573";"Tidak Ada";"2";"40";"2018-08-27";"18:15:47"
"129";"197";"8574";"Tidak Ada";"2";"40";"2018-08-27";"18:18:15"
"130";"23";"872";"Tidak Ada";"2";"35";"2018-08-27";"18:34:25"
"131";"197";"8575";"Tidak Ada";"2";"40";"2018-08-27";"18:37:05"
"132";"197";"8578";"Tidak Ada";"2";"40";"2018-08-27";"18:45:51"
"133";"197";"8579";"Tidak Ada";"2";"40";"2018-08-27";"18:48:14"
"134";"197";"8580";"Tidak Ada";"2";"40";"2018-08-27";"18:51:21"
"135";"197";"8581";"Tidak Ada";"2";"40";"2018-08-27";"18:53:00"
"136";"22";"847";"Tidak Ada";"2";"37";"2018-08-27";"19:03:05"
"137";"23";"873";"Tidak Ada";"2";"35";"2018-08-27";"19:05:25"
"138";"22";"848";"Tidak Ada";"2";"37";"2018-08-27";"19:05:49"
"139";"22";"849";"Tidak Ada";"2";"37";"2018-08-27";"19:11:24"
"140";"100";"4134";"Tidak Ada";"2";"50";"2018-08-27";"19:18:54"
"141";"23";"874";"Tidak Ada";"2";"35";"2018-08-27";"19:19:01"
"142";"22";"850";"Tidak Ada";"2";"37";"2018-08-27";"19:30:36"
"143";"199";"8666";"Tidak Ada";"2";"57";"2018-08-27";"19:31:59"
"144";"199";"8667";"Tidak Ada";"2";"57";"2018-08-27";"19:36:13"
"145";"199";"8668";"Tidak Ada";"2";"57";"2018-08-27";"19:42:32"
"146";"199";"8669";"Tidak Ada";"2";"57";"2018-08-27";"19:49:17"
"147";"199";"8670";"Tidak Ada";"2";"57";"2018-08-27";"19:54:00"
"148";"199";"8671";"Tidak Ada";"2";"57";"2018-08-27";"20:00:22"
"149";"199";"8672";"Tidak Ada";"2";"57";"2018-08-27";"20:04:33"
"150";"199";"8673";"Tidak Ada";"2";"57";"2018-08-27";"20:09:13"
"151";"199";"8673";"Tidak Ada";"2";"57";"2018-08-27";"20:09:13"
"152";"199";"8674";"Tidak Ada";"2";"57";"2018-08-27";"20:12:26"
"153";"199";"8675";"Tidak Ada";"2";"57";"2018-08-27";"20:16:46"
"154";"199";"8676";"Tidak Ada";"2";"57";"2018-08-27";"20:20:27"
"155";"199";"8677";"Tidak Ada";"2";"57";"2018-08-27";"20:25:43"
"156";"22";"810";"Tidak Ada";"2";"37";"2018-08-27";"20:28:51"
"157";"199";"8678";"Tidak Ada";"2";"57";"2018-08-27";"20:38:55"
"158";"199";"8679";"23 persen.";"2";"57";"2018-08-27";"20:48:32"
"159";"199";"8680";"23 persen";"2";"57";"2018-08-27";"20:52:39"
"160";"199";"8681";"16 tahun";"2";"57";"2018-08-27";"20:55:43"
"161";"199";"8681";"19 tahun";"2";"57";"2018-08-27";"20:55:58"
"162";"199";"8682";"18 tahun.";"2";"57";"2018-08-27";"21:00:17"
"163";"199";"8683";"21 tahun.";"2";"57";"2018-08-27";"21:03:49"
"164";"199";"8684";"18 tahun";"2";"57";"2018-08-27";"21:14:44"
"165";"199";"8684";"16 tahun";"2";"57";"2018-08-27";"21:15:04"
"166";"199";"8684";"18 tahun";"2";"57";"2018-08-27";"21:15:24"
"167";"199";"8684";"21 tahun";"2";"57";"2018-08-27";"21:15:39"
"168";"199";"8685";"20 tahun";"2";"57";"2018-08-27";"21:23:38"
"169";"199";"8685";"24 tahun";"2";"57";"2018-08-27";"21:23:45"
"170";"199";"8685";"18 tahun";"2";"57";"2018-08-27";"21:23:51"
"171";"199";"8686";"20-24 tahun";"2";"57";"2018-08-27";"21:30:52"
"172";"199";"8686";"5,1 juta jiwa";"2";"57";"2018-08-27";"21:31:08"
"173";"199";"8686";"5,3 juta jiwa";"2";"57";"2018-08-27";"21:31:17"
"174";"199";"8687";"28,9 ribu orang";"2";"57";"2018-08-27";"21:36:47"
"175";"199";"8687";"129,6 ribu orang";"2";"57";"2018-08-27";"21:37:12"
"176";"199";"8688";"1.100.000 orang";"2";"57";"2018-08-27";"21:48:37"
"177";"199";"8688";"570.600 orang";"2";"57";"2018-08-27";"21:49:00"
"178";"199";"8689";"20-24 tahun";"2";"57";"2018-08-27";"21:54:58"
"179";"199";"8689";"18 tahun";"2";"57";"2018-08-27";"21:55:06"
"180";"199";"8690";"Tidak Ada";"2";"57";"2018-08-27";"21:58:49"
"181";"199";"8691";"15 tahun";"2";"57";"2018-08-27";"22:08:06"
"182";"199";"8691";"dalam 6 tahun";"2";"57";"2018-08-27";"22:08:17"
"183";"199";"8691";"15-17 tahun";"2";"57";"2018-08-27";"22:08:32"
"184";"199";"8691";"Tidak Ada";"2";"57";"2018-08-27";"22:08:49"
"185";"199";"8692";"Tidak Ada";"2";"57";"2018-08-27";"22:11:33"
"186";"199";"8693";"dibawah 18 tahun";"2";"57";"2018-08-27";"22:14:47"
"187";"199";"8694";"salah satu";"2";"57";"2018-08-27";"22:20:29"
"188";"199";"8695";"Tidak Ada";"2";"57";"2018-08-27";"22:24:32"
"189";"22";"811";"Tidak Ada";"2";"37";"2018-08-27";"22:26:36"
"190";"199";"8696";"Tidak Ada";"2";"57";"2018-08-27";"22:29:57"
"191";"22";"812";"Tidak Ada";"2";"37";"2018-08-27";"22:42:22"
"192";"22";"813";"Tidak Ada";"2";"37";"2018-08-27";"22:48:11"
"193";"199";"8697";"Tidak Ada";"2";"57";"2018-08-27";"22:55:28"
"194";"199";"8698";"Tidak Ada";"2";"57";"2018-08-27";"22:59:28"
"195";"22";"814";"Tidak Ada";"2";"37";"2018-08-27";"23:03:24"
"196";"199";"8699";"1";"2";"57";"2018-08-27";"23:03:33"
"197";"199";"8699";"9";"2";"57";"2018-08-27";"23:03:37"
"198";"199";"8699";"18 tahun";"2";"57";"2018-08-27";"23:03:44"
"199";"199";"8700";"375 anak";"2";"57";"2018-08-27";"23:05:59"
"200";"199";"8701";"Tidak Ada";"2";"57";"2018-08-27";"23:08:01"
"201";"199";"8702";"3 provinsi";"2";"57";"2018-08-27";"23:13:17"
"202";"199";"8703";"30.000";"2";"57";"2018-08-27";"23:24:05"
"203";"199";"8703";"2.000";"2";"57";"2018-08-27";"23:24:12"
"204";"199";"8704";"Tidak Ada";"2";"57";"2018-08-27";"23:27:28"
"205";"22";"815";"Tidak Ada";"2";"37";"2018-08-27";"23:28:40"
"206";"199";"8705";"salah satunya";"2";"57";"2018-08-27";"23:29:46"
"207";"199";"8706";"Tidak Ada";"2";"57";"2018-08-27";"23:32:34"
"208";"199";"8707";"Tidak Ada";"2";"57";"2018-08-27";"23:34:32"
"209";"199";"8708";"Tidak Ada";"2";"57";"2018-08-27";"23:36:18"
"210";"199";"8709";"Tidak Ada";"2";"57";"2018-08-27";"23:38:39"
"211";"199";"8710";"4-5 desa";"2";"57";"2018-08-27";"23:43:05"
"212";"199";"8711";"Tidak Ada";"2";"57";"2018-08-27";"23:48:28"
"213";"199";"8712";"Tidak Ada";"2";"57";"2018-08-27";"23:54:27"
"214";"199";"8713";"4 Provinsi";"2";"57";"2018-08-27";"23:57:08"
"215";"199";"8713";"10 besar";"2";"57";"2018-08-27";"23:57:23"
"216";"22";"816";"Tidak Ada";"2";"37";"2018-08-28";"00:01:35"
"217";"199";"8714";"20-24 tahun";"2";"57";"2018-08-28";"00:02:58"
"218";"199";"8714";"15-17 tahun";"2";"57";"2018-08-28";"00:03:11"
"219";"199";"8714";"32,03%";"2";"57";"2018-08-28";"00:03:38"
"220";"199";"8714";"12,67%";"2";"57";"2018-08-28";"00:03:55"
"221";"22";"817";"Tidak Ada";"2";"37";"2018-08-28";"00:04:37"
"222";"199";"8715";"4,06%";"2";"57";"2018-08-28";"00:08:16"
"223";"199";"8716";"tidak ada";"2";"57";"2018-08-28";"00:11:07"
"224";"199";"8717";"Tidak Ada";"2";"57";"2018-08-28";"00:12:59"
"225";"199";"8718";"Tidak Ada";"2";"57";"2018-08-28";"00:15:16"
"226";"199";"8719";"Tidak Ada";"2";"57";"2018-08-28";"00:19:22"
"227";"199";"8720";"10-14 tahun";"2";"57";"2018-08-28";"00:22:37"
"228";"199";"8720";"20-14 tahun";"2";"57";"2018-08-28";"00:22:44"
"229";"199";"8720";"5 kali";"2";"57";"2018-08-28";"00:22:51"
"230";"199";"8721";"15-19 tahun";"2";"57";"2018-08-28";"00:26:50"
"231";"199";"8722";"Tidak Ada";"2";"57";"2018-08-28";"00:29:39"
"232";"199";"8723";"Tidak Ada";"2";"57";"2018-08-28";"00:32:40"
"233";"199";"8724";"Tidak Ada";"2";"57";"2018-08-28";"00:35:38"
"234";"199";"8725";"4 provinsi";"2";"57";"2018-08-28";"00:39:12"
"235";"199";"8725";"37 kabupaten/kota";"2";"57";"2018-08-28";"00:39:21"
"236";"199";"8726";"Tidak Ada";"2";"57";"2018-08-28";"00:41:42"
"237";"199";"8727";"Tidak Ada";"2";"57";"2018-08-28";"00:44:15"
"238";"215";"9293";"20 tahun";"2";"57";"2018-08-28";"01:22:03"
"239";"22";"818";"Tidak Ada";"2";"37";"2018-08-28";"01:25:28"
"240";"22";"819";"Tidak Ada";"2";"37";"2018-08-28";"01:27:26"
"241";"199";"8666";"Dua";"2";"62";"2018-08-28";"10:32:09"
"242";"199";"8667";"Tidak Ada";"2";"62";"2018-08-28";"10:36:51"
"243";"199";"8668";"Tidak Ada";"2";"62";"2018-08-28";"10:40:38"
"244";"199";"8669";"Tidak Ada";"2";"62";"2018-08-28";"10:45:04"
"245";"215";"9263";"Tidak Ada";"2";"57";"2018-08-28";"11:01:55"
"246";"199";"8670";"Tidak Ada";"2";"62";"2018-08-28";"11:08:51"
"247";"199";"8671";"Tidak Ada";"2";"62";"2018-08-28";"11:16:14"
"248";"215";"9264";"Tidak Ada";"2";"57";"2018-08-28";"11:16:27"
"249";"199";"8672";"Tidak Ada";"2";"62";"2018-08-28";"11:18:55"
"250";"199";"8673";"tujuh";"2";"62";"2018-08-28";"11:21:16"
"251";"199";"8674";"Tidak Ada";"2";"62";"2018-08-28";"11:23:21"
"252";"199";"8675";"lima";"2";"62";"2018-08-28";"11:26:52"
"253";"215";"9265";"Tidak Ada";"2";"57";"2018-08-28";"11:27:57"
"254";"199";"8676";"Lima";"2";"62";"2018-08-28";"11:30:08"
"255";"215";"9266";"Tidak Ada";"2";"57";"2018-08-28";"11:30:15"
"256";"199";"8677";"lima";"2";"62";"2018-08-28";"11:32:22"
"257";"215";"9267";"20 Tahun";"2";"57";"2018-08-28";"11:32:22"
"258";"199";"8678";"Tidak Ada";"2";"62";"2018-08-28";"11:34:18"
"259";"215";"9268";"Tidak Ada";"2";"57";"2018-08-28";"11:34:28"
"260";"215";"9269";"Tidak Ada";"2";"57";"2018-08-28";"11:36:51"
"261";"215";"9270";"Tidak Ada";"2";"57";"2018-08-28";"11:39:32"
"262";"199";"8679";"23";"2";"62";"2018-08-28";"11:41:43"
"263";"215";"9271";"Tidak Ada";"2";"57";"2018-08-28";"11:42:26"
"264";"215";"9272";"Tidak Ada";"2";"57";"2018-08-28";"11:44:14"
"265";"199";"8680";"Tidak Ada";"2";"62";"2018-08-28";"11:44:26"
"266";"215";"9273";"Tidak Ada";"2";"57";"2018-08-28";"11:46:11"
"267";"199";"8681";"Tidak Ada";"2";"62";"2018-08-28";"11:47:35"
"268";"215";"9274";"Tidak Ada";"2";"57";"2018-08-28";"11:47:53"
"269";"199";"8682";"Tidak Ada";"2";"62";"2018-08-28";"11:49:11"
"270";"215";"9275";"Tidak Ada";"2";"57";"2018-08-28";"11:50:19"
"271";"21";"803";"Tidak Ada";"1";"31";"2018-08-28";"16:36:38"
"272";"21";"804";"Tidak Ada";"1";"31";"2018-08-28";"16:37:52"
"273";"21";"805";"Tidak Ada";"1";"31";"2018-08-28";"16:38:46"
"274";"21";"806";"Tidak Ada";"1";"31";"2018-08-28";"16:39:12"
"275";"21";"807";"one";"1";"31";"2018-08-28";"16:40:02"
"276";"21";"808";"Tidak Ada";"1";"31";"2018-08-28";"16:42:50"
"277";"21";"809";"Tidak Ada";"1";"31";"2018-08-28";"16:44:05"
"278";"179";"7695";"17";"2";"31";"2018-08-28";"16:46:02"
"279";"179";"7696";"Tidak Ada";"1";"31";"2018-08-28";"16:47:00"
"280";"179";"7697";"344";"1";"31";"2018-08-28";"16:47:32"
"281";"179";"7698";"lima";"1";"31";"2018-08-28";"16:48:49"
"282";"179";"7698";"13";"1";"31";"2018-08-28";"16:48:57"
"283";"179";"7698";"10";"1";"31";"2018-08-28";"16:49:04"
"284";"179";"7699";"754";"2";"31";"2018-08-28";"16:54:19"
"285";"179";"7700";"Tidak Ada";"1";"31";"2018-08-28";"16:55:54"
"286";"179";"7701";"Tidak Ada";"1";"31";"2018-08-28";"16:57:03"
"287";"179";"7702";"Tidak Ada";"0";"31";"2018-08-28";"16:58:36"
"288";"179";"7703";"Tidak Ada";"1";"31";"2018-08-28";"16:59:19"
"289";"179";"7704";"Tidak Ada";"1";"31";"2018-08-28";"17:00:25"
"290";"179";"7705";"Tidak Ada";"2";"31";"2018-08-28";"17:02:00"
"291";"179";"7706";"Tidak Ada";"2";"31";"2018-08-28";"17:03:50"
"292";"179";"7707";"1.000";"2";"31";"2018-08-28";"17:04:36"
"293";"215";"9276";"Tidak Ada";"2";"57";"2018-08-28";"17:05:04"
"294";"179";"7708";"Tidak Ada";"2";"31";"2018-08-28";"17:07:02"
"295";"215";"9277";"Tidak Ada";"2";"57";"2018-08-28";"17:07:52"
"296";"215";"9278";"Tidak Ada";"2";"57";"2018-08-28";"17:09:55"
"297";"215";"9280";"Tidak Ada";"2";"57";"2018-08-28";"17:11:40"
"298";"179";"7709";"Tidak Ada";"2";"31";"2018-08-28";"17:15:09"
"299";"179";"7710";"Tidak Ada";"2";"31";"2018-08-28";"17:16:01"
"300";"179";"7711";"Tidak Ada";"2";"31";"2018-08-28";"17:17:43"
"301";"179";"7712";"Tidak Ada";"2";"31";"2018-08-28";"17:23:26"
"302";"179";"7713";"Tidak Ada";"2";"31";"2018-08-28";"17:24:10"
"303";"179";"7714";"Tidak Ada";"2";"31";"2018-08-28";"17:28:26"
"304";"179";"7715";"Tidak Ada";"2";"31";"2018-08-28";"17:30:37"
"305";"179";"7716";"Tidak Ada";"2";"31";"2018-08-28";"17:33:50"
"306";"179";"7717";"Tidak Ada";"2";"31";"2018-08-28";"17:35:13"
"307";"179";"7718";"Tidak Ada";"2";"31";"2018-08-28";"17:38:41"
"308";"179";"7719";"Tidak Ada";"2";"31";"2018-08-28";"17:42:20"
"309";"179";"7720";"Dua";"2";"31";"2018-08-28";"17:42:38"
"310";"3";"98";"Tidak Ada";"2";"2";"2018-08-28";"17:45:54"
"311";"3";"99";"Tidak Ada";"2";"2";"2018-08-28";"17:49:12"
"312";"179";"7721";"dua";"2";"31";"2018-08-28";"17:53:23"
"313";"179";"7722";"Keduanya";"2";"31";"2018-08-28";"17:56:38"
"314";"179";"7723";"Tidak Ada";"2";"31";"2018-08-28";"17:57:24"
"315";"179";"7724";"Tidak Ada";"2";"31";"2018-08-28";"17:58:04"
"316";"179";"7725";"Tidak Ada";"2";"31";"2018-08-28";"18:01:24"
"317";"179";"7726";"Tidak Ada";"2";"31";"2018-08-28";"18:05:04"
"318";"179";"7727";"Tidak Ada";"2";"31";"2018-08-28";"18:05:53"
"319";"179";"7728";"Tidak Ada";"2";"31";"2018-08-28";"18:07:12"
"320";"179";"7729";"Tidak Ada";"2";"31";"2018-08-28";"18:10:50"
"321";"179";"7730";"Tidak Ada";"2";"31";"2018-08-28";"18:11:46"
"322";"179";"7731";"Tidak Ada";"2";"31";"2018-08-28";"18:23:04"
"323";"179";"7732";"Tidak Ada";"2";"31";"2018-08-28";"18:23:55"
"324";"179";"7733";"Tidak Ada";"2";"31";"2018-08-28";"18:26:33"
"325";"179";"7734";"Tidak Ada";"2";"31";"2018-08-28";"18:27:33"
"326";"179";"7735";"Tidak Ada";"2";"31";"2018-08-28";"18:28:41"
"327";"179";"7736";"Tidak Ada";"2";"31";"2018-08-28";"18:29:11"
"328";"179";"7737";"Tidak Ada";"2";"31";"2018-08-28";"18:29:57"
"329";"179";"7738";"Tidak Ada";"2";"31";"2018-08-28";"18:31:10"
"330";"179";"7739";"Tidak Ada";"2";"31";"2018-08-28";"18:31:46"
"331";"179";"7740";"Tidak Ada";"2";"31";"2018-08-28";"18:33:17"
"332";"197";"8582";"Tidak Ada";"2";"40";"2018-08-28";"19:35:12"
"333";"197";"8583";"Tidak Ada";"2";"40";"2018-08-28";"19:36:16"
"334";"197";"8584";"Tidak Ada";"2";"40";"2018-08-28";"19:38:35"
"335";"197";"8585";"Tidak Ada";"2";"40";"2018-08-28";"19:42:35"
"336";"197";"8586";"Tidak Ada";"2";"40";"2018-08-28";"19:44:41"
"337";"197";"8587";"Tidak Ada";"2";"40";"2018-08-28";"19:49:22"
"338";"197";"8588";"Tidak Ada";"2";"40";"2018-08-28";"19:52:51"
"339";"197";"8589";"Tidak Ada";"2";"40";"2018-08-28";"19:56:06"
"340";"100";"4135";"Tidak Ada";"2";"50";"2018-08-28";"20:00:25"
"341";"197";"8590";"Tidak Ada";"2";"40";"2018-08-28";"20:01:46"
"342";"197";"8591";"Tidak Ada";"2";"40";"2018-08-28";"20:03:36"
"343";"197";"8592";"Tidak Ada";"2";"40";"2018-08-28";"20:04:42"
"344";"197";"8593";"Tidak Ada";"2";"40";"2018-08-28";"20:09:16"
"345";"22";"820";"Tidak Ada";"2";"37";"2018-08-28";"20:11:40"
"346";"22";"821";"Tidak Ada";"2";"37";"2018-08-28";"20:16:01"
"347";"197";"8594";"Tidak Ada";"2";"40";"2018-08-28";"20:16:18"
"348";"197";"8595";"Tidak Ada";"2";"40";"2018-08-28";"20:17:06"
