"id_organisasi";"id_berita";"id_kalimat";"nama_organisasi";"isCorrect";"isValid";"id_submitter";"date_submit";"time_submit"
"81";"21";"784";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:48:10"
"82";"21";"785";"Avert\.org";"1";"2";"31";"2018-08-25";"14:49:22"
"83";"21";"786";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:51:37"
"84";"21";"787";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:52:28"
"85";"21";"788";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:53:11"
"86";"21";"789";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:57:53"
"87";"21";"790";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:58:53"
"88";"21";"791";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:00:27"
"89";"21";"792";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:01:09"
"90";"21";"793";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:02:03"
"91";"21";"793";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:02:19"
"92";"21";"794";"Toronto Star";"1";"2";"31";"2018-08-25";"15:03:43"
"93";"21";"795";"Center for Disease Control and Prevention";"1";"1";"31";"2018-08-25";"15:04:25"
"94";"21";"796";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:06:02"
"95";"21";"797";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:07:07"
"96";"21";"798";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:08:06"
"97";"21";"799";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:13:58"
"98";"21";"800";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:14:37"
"99";"21";"801";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:16:28"
"100";"21";"802";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:17:23"
"101";"23";"852";"Repsol Honda";"1";"1";"35";"2018-08-25";"15:55:16"
"102";"23";"853";"Tidak Ada";"1";"1";"35";"2018-08-25";"16:01:06"
"103";"23";"854";"Tidak Ada";"1";"1";"35";"2018-08-25";"16:05:05"
"104";"23";"855";"Tidak Ada";"1";"1";"35";"2018-08-25";"16:07:53"
"105";"23";"856";"Tidak Ada";"1";"1";"35";"2018-08-25";"16:10:47"
"106";"23";"857";"Tidak Ada";"1";"1";"35";"2018-08-25";"16:12:50"
"107";"23";"858";"Tidak Ada";"1";"1";"35";"2018-08-25";"16:14:27"
"108";"23";"859";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:16:57"
"109";"23";"860";"Tidak Ada";"1";"1";"35";"2018-08-25";"16:24:47"
"110";"109";"4445";"Tidak Ada";"1";"2";"32";"2018-08-25";"16:40:33"
"111";"109";"4446";"Tidak Ada";"1";"1";"32";"2018-08-25";"16:48:33"
"112";"109";"4447";"Tidak Ada";"1";"1";"32";"2018-08-25";"16:49:48"
"113";"109";"4448";"Tidak Ada";"1";"2";"32";"2018-08-25";"16:51:10"
"114";"109";"4449";"Nazi";"1";"1";"32";"2018-08-25";"16:52:47"
"115";"109";"4449";"Tidak Ada";"1";"2";"32";"2018-08-25";"16:53:10"
"116";"23";"861";"Tidak Ada";"1";"1";"35";"2018-08-25";"16:57:44"
"117";"109";"4450";"Tidak Ada";"1";"1";"32";"2018-08-25";"16:57:50"
"118";"109";"4451";"Tidak Ada";"1";"2";"32";"2018-08-25";"16:59:06"
"119";"109";"4452";"Tidak Ada";"1";"1";"32";"2018-08-25";"17:01:26"
"120";"23";"862";"Tidak Ada";"1";"1";"35";"2018-08-25";"17:03:32"
"121";"109";"4453";"Tidak Ada";"1";"2";"32";"2018-08-25";"17:04:57"
"122";"23";"863";"Tidak Ada";"1";"1";"35";"2018-08-25";"17:23:07"
"123";"23";"864";"Tidak Ada";"1";"1";"35";"2018-08-25";"17:24:42"
"124";"23";"865";"Tidak Ada";"1";"1";"35";"2018-08-25";"17:29:00"
"125";"23";"866";"Tidak Ada";"1";"1";"35";"2018-08-25";"17:33:15"
"126";"23";"867";"Tidak Ada";"1";"1";"35";"2018-08-25";"17:36:11"
"127";"23";"868";"Tidak Ada";"1";"2";"35";"2018-08-25";"17:38:32"
"128";"23";"869";"Tidak Ada";"1";"1";"35";"2018-08-25";"17:40:54"
"129";"35";"1566";"NASA";"1";"1";"34";"2018-08-27";"11:04:03"
"130";"35";"1567";"Tidak Ada";"1";"1";"34";"2018-08-27";"11:21:05"
"131";"35";"1568";"Tidak Ada";"1";"1";"34";"2018-08-27";"11:24:01"
"132";"35";"1569";"Badan Aeronautika dan Antariksa Amerika Serikat";"1";"2";"34";"2018-08-27";"11:24:18"
"133";"35";"1569";"NASA";"1";"1";"34";"2018-08-27";"11:24:31"
"134";"35";"1570";"NASA";"1";"1";"34";"2018-08-27";"11:25:58"
"135";"197";"8572";"Tidak Ada";"1";"1";"35";"2018-08-27";"13:21:30"
"136";"22";"843";"Tidak Ada";"1";"1";"37";"2018-08-27";"17:32:38"
"137";"22";"844";"Science Direct";"1";"2";"37";"2018-08-27";"17:42:02"
"138";"22";"844";"Tidak Ada";"1";"2";"37";"2018-08-27";"17:42:06"
"139";"22";"845";"Tidak Ada";"1";"1";"37";"2018-08-27";"17:55:30"
"140";"22";"846";"Tidak Ada";"1";"1";"37";"2018-08-27";"17:59:42"
"141";"23";"870";"Tidak Ada";"1";"1";"35";"2018-08-27";"18:05:27"
"142";"197";"8572";"Tidak Ada";"1";"1";"40";"2018-08-27";"18:11:45"
"143";"197";"8573";"Tidak Ada";"1";"1";"40";"2018-08-27";"18:15:36"
"144";"197";"8574";"Tidak Ada";"1";"1";"40";"2018-08-27";"18:18:01"
"145";"23";"871";"Tidak Ada";"1";"1";"35";"2018-08-27";"18:26:33"
"146";"197";"8575";"Tidak Ada";"1";"1";"40";"2018-08-27";"18:29:22"
"147";"23";"872";"Tidak Ada";"1";"1";"35";"2018-08-27";"18:33:52"
"148";"197";"8578";"Tidak Ada";"1";"2";"40";"2018-08-27";"18:39:31"
"149";"22";"847";"Tidak Ada";"1";"2";"37";"2018-08-27";"18:40:53"
"150";"197";"8579";"Tidak Ada";"1";"1";"40";"2018-08-27";"18:47:16"
"151";"197";"8580";"Tidak Ada";"1";"1";"40";"2018-08-27";"18:50:51"
"152";"197";"8581";"Tidak Ada";"1";"1";"40";"2018-08-27";"18:52:16"
"153";"22";"848";"Tidak Ada";"1";"1";"37";"2018-08-27";"19:03:32"
"154";"23";"873";"Ducati";"1";"1";"35";"2018-08-27";"19:03:52"
"155";"22";"849";"Tidak Ada";"1";"1";"37";"2018-08-27";"19:09:57"
"156";"100";"4134";"Tidak Ada";"1";"2";"50";"2018-08-27";"19:11:59"
"157";"23";"874";"Tidak Ada";"1";"1";"35";"2018-08-27";"19:19:29"
"158";"199";"8666";"Gerakan Stop Perkawinan Anak";"1";"2";"57";"2018-08-27";"19:26:55"
"159";"22";"850";"Tidak Ada";"1";"1";"37";"2018-08-27";"19:29:03"
"160";"199";"8667";"Tidak Ada";"1";"1";"57";"2018-08-27";"19:34:03"
"161";"199";"8668";"UNICEF";"1";"1";"57";"2018-08-27";"19:39:57"
"162";"199";"8669";"Perserikatan Bangsa-Bangsa \(PBB\)";"1";"1";"57";"2018-08-27";"19:47:27"
"163";"199";"8670";"Tidak Ada";"1";"1";"57";"2018-08-27";"19:52:55"
"164";"199";"8671";"UNICEF";"1";"1";"57";"2018-08-27";"19:57:08"
"165";"199";"8672";"Kementerian Pemberdayaan Perempuan dan Perlindunga";"1";"2";"57";"2018-08-27";"20:02:56"
"166";"199";"8673";"Tidak Ada";"1";"2";"57";"2018-08-27";"20:07:26"
"167";"199";"8674";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:10:47"
"168";"199";"8675";"Tidak Ada";"1";"2";"57";"2018-08-27";"20:15:01"
"169";"199";"8675";"Tidak Ada";"1";"2";"57";"2018-08-27";"20:15:13"
"170";"199";"8676";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:17:48"
"171";"199";"8677";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:24:31"
"172";"22";"810";"Tidak Ada";"1";"2";"37";"2018-08-27";"20:27:55"
"173";"199";"8678";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:34:50"
"174";"199";"8679";"Kementerian PPPA";"1";"2";"57";"2018-08-27";"20:46:46"
"175";"199";"8680";"Gerakan Stop Perkawinan Anak";"1";"2";"57";"2018-08-27";"20:50:47"
"176";"199";"8681";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:54:30"
"177";"199";"8682";"Kementerian PPPA";"1";"2";"57";"2018-08-27";"20:58:27"
"178";"199";"8683";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:02:31"
"179";"199";"8684";"Tidak Ada";"1";"2";"57";"2018-08-27";"21:12:21"
"180";"199";"8685";"Tidak Ada";"1";"2";"57";"2018-08-27";"21:21:50"
"181";"199";"8686";"Badan Pusat Statistik \(BPS\)";"1";"1";"57";"2018-08-27";"21:26:32"
"182";"199";"8687";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:35:00"
"183";"199";"8688";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:46:17"
"184";"199";"8689";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:53:52"
"185";"199";"8690";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:57:52"
"186";"199";"8691";"Tidak Ada";"1";"1";"57";"2018-08-27";"22:05:22"
"187";"199";"8692";"Kementerian PPPA";"1";"2";"57";"2018-08-27";"22:10:21"
"188";"199";"8693";"Tidak Ada";"1";"1";"57";"2018-08-27";"22:13:52"
"189";"199";"8694";"Tidak Ada";"1";"1";"57";"2018-08-27";"22:19:30"
"190";"199";"8695";"Tidak Ada";"1";"1";"57";"2018-08-27";"22:23:45"
"191";"22";"811";"Tidak Ada";"1";"1";"37";"2018-08-27";"22:25:38"
"192";"199";"8696";"Tidak Ada";"1";"1";"57";"2018-08-27";"22:28:48"
"193";"22";"812";"Masyarakat Ekonomi Syariah \(MES\)";"1";"1";"37";"2018-08-27";"22:39:27"
"194";"22";"813";"Tidak Ada";"1";"1";"37";"2018-08-27";"22:47:08"
"195";"199";"8697";"Kementerian PPPA";"1";"2";"57";"2018-08-27";"22:53:30"
"196";"199";"8698";"Deputi Menteri PPPA Bidang Tumbuh Kembang Anak";"1";"2";"57";"2018-08-27";"22:58:15"
"197";"22";"814";"CNNIndonesia\.com";"1";"2";"37";"2018-08-27";"23:01:58"
"198";"199";"8699";"Tidak Ada";"1";"1";"57";"2018-08-27";"23:02:21"
"199";"199";"8700";"Tidak Ada";"1";"2";"57";"2018-08-27";"23:04:57"
"200";"199";"8701";"Tidak Ada";"1";"2";"57";"2018-08-27";"23:07:21"
"201";"199";"8702";"Tidak Ada";"1";"1";"57";"2018-08-27";"23:10:26"
"202";"199";"8703";"Koalisi Perempuan Indonesia \(KPI\)";"1";"1";"57";"2018-08-27";"23:21:49"
"203";"199";"8703";"Pengadilan Tinggi Agama Jateng";"1";"2";"57";"2018-08-27";"23:22:12"
"204";"199";"8704";"KPI";"1";"1";"57";"2018-08-27";"23:26:32"
"205";"22";"815";"Tidak Ada";"1";"1";"37";"2018-08-27";"23:27:53"
"206";"199";"8705";"Tidak Ada";"1";"1";"57";"2018-08-27";"23:28:16"
"207";"199";"8706";"Tidak Ada";"1";"1";"57";"2018-08-27";"23:31:44"
"208";"199";"8707";"Tidak Ada";"1";"1";"57";"2018-08-27";"23:33:53"
"209";"199";"8708";"Tidak Ada";"1";"2";"57";"2018-08-27";"23:35:34"
"210";"199";"8709";"Tidak Ada";"1";"2";"57";"2018-08-27";"23:37:46"
"211";"199";"8710";"Tidak Ada";"1";"2";"57";"2018-08-27";"23:41:44"
"212";"199";"8711";"Tidak Ada";"1";"1";"57";"2018-08-27";"23:46:33"
"213";"199";"8712";"Tidak Ada";"1";"1";"57";"2018-08-27";"23:53:24"
"214";"199";"8713";"Tidak Ada";"1";"1";"57";"2018-08-27";"23:56:08"
"215";"22";"816";"Tidak Ada";"1";"1";"37";"2018-08-28";"00:00:32"
"216";"199";"8714";"Tidak Ada";"1";"1";"57";"2018-08-28";"00:01:25"
"217";"22";"817";"Tirto\.id";"1";"2";"37";"2018-08-28";"00:03:27"
"218";"199";"8715";"Tidak Ada";"1";"1";"57";"2018-08-28";"00:07:18"
"219";"199";"8716";"Tidak Ada";"1";"1";"57";"2018-08-28";"00:10:01"
"220";"199";"8717";"Tidak Ada";"1";"1";"57";"2018-08-28";"00:12:18"
"221";"199";"8718";"Tidak Ada";"1";"1";"57";"2018-08-28";"00:14:17"
"222";"199";"8719";"Tidak Ada";"1";"1";"57";"2018-08-28";"00:18:43"
"223";"199";"8720";"Tidak Ada";"1";"1";"57";"2018-08-28";"00:21:54"
"224";"199";"8721";"Tidak Ada";"1";"1";"57";"2018-08-28";"00:26:00"
"225";"199";"8722";"Kementerian PPPA";"1";"2";"57";"2018-08-28";"00:28:23"
"226";"199";"8723";"Kementerian PPPA";"1";"2";"57";"2018-08-28";"00:31:39"
"227";"199";"8723";"Pusat Pembelajaran Keluarga \(Puspaga\)";"1";"1";"57";"2018-08-28";"00:31:51"
"228";"199";"8724";"Tidak Ada";"1";"2";"57";"2018-08-28";"00:34:44"
"229";"199";"8725";"Puspaga";"1";"1";"57";"2018-08-28";"00:37:29"
"230";"199";"8726";"Tidak Ada";"1";"1";"57";"2018-08-28";"00:40:55"
"231";"199";"8727";"Tidak Ada";"1";"1";"57";"2018-08-28";"00:43:17"
"232";"215";"9293";"Tidak Ada";"1";"1";"57";"2018-08-28";"01:20:20"
"233";"22";"818";"Tidak Ada";"1";"1";"37";"2018-08-28";"01:25:10"
"234";"22";"819";"Tidak Ada";"1";"1";"37";"2018-08-28";"01:26:05"
"235";"199";"8666";"Tidak Ada";"1";"2";"62";"2018-08-28";"10:28:02"
"236";"199";"8667";"Tidak Ada";"1";"1";"62";"2018-08-28";"10:35:06"
"237";"199";"8668";"UNICEF";"1";"1";"62";"2018-08-28";"10:38:57"
"238";"199";"8669";"Perserikatan Bangsa-Bangsa \(PBB\)";"1";"1";"62";"2018-08-28";"10:43:44"
"239";"215";"9263";"Tidak Ada";"1";"2";"57";"2018-08-28";"10:58:45"
"240";"199";"8670";"Tidak Ada";"1";"1";"62";"2018-08-28";"11:07:53"
"241";"199";"8671";"UNICEF";"1";"1";"62";"2018-08-28";"11:13:44"
"242";"215";"9264";"Komisi Pemberantasan Korupsi \(KPK\)";"1";"1";"57";"2018-08-28";"11:14:58"
"243";"199";"8672";"Kementerian Pemberdayaan Perempuan dan Perlindunga";"1";"2";"62";"2018-08-28";"11:17:51"
"244";"199";"8673";"ASEAN";"1";"1";"62";"2018-08-28";"11:20:11"
"245";"199";"8674";"Tidak Ada";"1";"1";"62";"2018-08-28";"11:21:51"
"246";"199";"8675";"Kementerian PPPA";"1";"2";"62";"2018-08-28";"11:24:49"
"247";"199";"8675";"Tidak Ada";"1";"2";"62";"2018-08-28";"11:25:00"
"248";"199";"8675";"Tidak Ada";"1";"2";"62";"2018-08-28";"11:25:15"
"249";"199";"8675";"Kementerian PPPA";"1";"2";"62";"2018-08-28";"11:25:35"
"250";"215";"9265";"KPK";"1";"1";"57";"2018-08-28";"11:26:58"
"251";"199";"8676";"Tidak Ada";"1";"1";"62";"2018-08-28";"11:27:42"
"252";"215";"9266";"KPK";"1";"1";"57";"2018-08-28";"11:28:48"
"253";"199";"8677";"Tidak Ada";"1";"1";"62";"2018-08-28";"11:31:53"
"254";"215";"9267";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:32:39"
"255";"199";"8678";"Tidak Ada";"1";"1";"62";"2018-08-28";"11:33:31"
"256";"215";"9268";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:33:40"
"257";"215";"9269";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:35:37"
"258";"199";"8679";"Kementerian PPPA";"1";"2";"62";"2018-08-28";"11:39:24"
"259";"215";"9270";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:39:43"
"260";"215";"9271";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:41:41"
"261";"215";"9272";"Tidak Ada";"1";"1";"57";"2018-08-28";"11:43:03"
"262";"199";"8680";"Tidak Ada";"1";"2";"62";"2018-08-28";"11:43:07"
"263";"215";"9273";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:45:11"
"264";"199";"8681";"Tidak Ada";"1";"1";"62";"2018-08-28";"11:46:26"
"265";"215";"9274";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:47:08"
"266";"199";"8682";"Kementerian PPPA";"1";"2";"62";"2018-08-28";"11:47:58"
"267";"215";"9275";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:49:29"
"268";"21";"803";"Foxnews";"1";"2";"31";"2018-08-28";"16:35:34"
"269";"21";"803";"Newswire";"1";"2";"31";"2018-08-28";"16:35:42"
"270";"21";"804";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:37:28"
"271";"21";"805";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:38:54"
"272";"21";"806";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:39:23"
"273";"21";"807";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:40:33"
"274";"21";"808";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:42:03"
"275";"21";"809";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:43:32"
"276";"179";"7695";"Tidak Ada";"1";"1";"31";"2018-08-28";"16:45:31"
"277";"179";"7696";"Komnas HAM";"1";"1";"31";"2018-08-28";"16:46:23"
"278";"179";"7697";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:48:21"
"279";"179";"7698";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:49:45"
"280";"179";"7699";"peleton Intai Tempur Kostrad";"1";"2";"31";"2018-08-28";"16:50:50"
"281";"179";"7699";"Batalyon Infanteri 754\/Eme Neme Kangasi";"1";"1";"31";"2018-08-28";"16:51:03"
"282";"179";"7700";"Tidak Ada";"1";"1";"31";"2018-08-28";"16:55:33"
"283";"179";"7701";"Tidak Ada";"1";"1";"31";"2018-08-28";"16:56:37"
"284";"179";"7702";"Kapendam XVII Cendrawasih";"1";"2";"31";"2018-08-28";"16:57:26"
"285";"179";"7703";"Tidak Ada";"1";"1";"31";"2018-08-28";"16:59:10"
"286";"179";"7704";"Tidak Ada";"1";"1";"31";"2018-08-28";"16:59:50"
"287";"179";"7705";"Tidak Ada";"1";"1";"31";"2018-08-28";"17:01:14"
"288";"179";"7706";"Tidak Ada";"1";"1";"31";"2018-08-28";"17:02:41"
"289";"215";"9276";"Tidak Ada";"1";"2";"57";"2018-08-28";"17:04:08"
"290";"179";"7707";"Tidak Ada";"1";"1";"31";"2018-08-28";"17:05:04"
"291";"179";"7708";"Tidak Ada";"1";"1";"31";"2018-08-28";"17:06:23"
"292";"215";"9277";"Tidak Ada";"1";"2";"57";"2018-08-28";"17:06:58"
"293";"215";"9278";"Kompas\.com";"1";"2";"57";"2018-08-28";"17:08:57"
"294";"215";"9278";"Tidak Ada";"1";"2";"57";"2018-08-28";"17:09:02"
"295";"215";"9280";"Tidak Ada";"1";"1";"57";"2018-08-28";"17:10:54"
"296";"179";"7709";"Tidak Ada";"1";"1";"31";"2018-08-28";"17:14:34"
"297";"179";"7710";"Tidak Ada";"1";"1";"31";"2018-08-28";"17:15:34"
"298";"179";"7711";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:16:27"
"299";"179";"7712";"Operasi Tentara Pembebasan Nasional Papua Barat";"1";"2";"31";"2018-08-28";"17:22:47"
"300";"179";"7713";"Tidak Ada";"1";"1";"31";"2018-08-28";"17:23:46"
"301";"179";"7714";"Tidak Ada";"1";"1";"31";"2018-08-28";"17:28:00"
"302";"179";"7715";"Tidak Ada";"1";"1";"31";"2018-08-28";"17:29:45"
"303";"179";"7716";"Brimob";"1";"1";"31";"2018-08-28";"17:32:59"
"304";"179";"7717";"Den B Timika";"1";"1";"31";"2018-08-28";"17:34:31"
"305";"179";"7718";"Tidak Ada";"1";"1";"31";"2018-08-28";"17:38:15"
"306";"179";"7719";"Tidak Ada";"1";"1";"31";"2018-08-28";"17:39:28"
"307";"3";"98";"Tidak Ada";"1";"1";"2";"2018-08-28";"17:42:13"
"308";"179";"7720";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:43:20"
"309";"3";"99";"Tidak Ada";"1";"1";"2";"2018-08-28";"17:47:20"
"310";"179";"7721";"TPN-PB";"1";"1";"31";"2018-08-28";"17:52:23"
