"id_orang";"id_berita";"id_kalimat";"nama_orang";"jabatan";"isCorrect";"isValid";"id_submitter";"date_submit";"time_submit"
"38";"3";"100";"Jonfis Fandy";"Tidak Ada";"1";"1";"48";"2018-08-24";"20:51:47"
"39";"3";"100";"Jonfis Fandy";"Tidak Ada";"1";"1";"48";"2018-08-24";"20:52:41"
"40";"3";"101";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"20:54:33"
"41";"3";"102";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"20:56:19"
"42";"3";"103";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"20:59:03"
"43";"3";"104";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"21:02:32"
"44";"3";"105";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"22:10:52"
"45";"15";"590";"Tidak Ada";"Tidak Ada";"1";"1";"32";"2018-08-24";"22:53:22"
"46";"15";"590";"Tidak Ada";"Tidak Ada";"1";"1";"32";"2018-08-24";"22:53:32"
"47";"15";"579";"Tidak Ada";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:18:20"
"48";"3";"106";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:37:08"
"49";"15";"580";"Tidak Ada";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:38:31"
"50";"15";"581";"Tidak Ada";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:41:47"
"51";"3";"107";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:43:26"
"52";"3";"107";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:43:31"
"53";"15";"583";"Tidak Ada";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:44:59"
"54";"3";"108";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:46:07"
"55";"15";"587";"Tidak Ada";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:48:04"
"56";"3";"109";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:48:09"
"57";"3";"109";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:48:19"
"58";"3";"110";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:49:28"
"59";"3";"110";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:49:49"
"60";"3";"110";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:50:37"
"61";"15";"588";"Tidak Ada";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:51:40"
"62";"3";"111";"Jonfis";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:52:24"
"63";"3";"111";"Jonfis";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:52:35"
"64";"3";"92";"Tidak Ada";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:54:07"
"65";"3";"112";"Arie Galaxy";"Tidak Ada";"1";"1";"48";"2018-08-25";"00:04:00"
"66";"3";"113";"Harpit";"Lainny";"1";"1";"48";"2018-08-25";"00:05:54"
"67";"3";"113";"Harpit";"Lainnya";"1";"1";"48";"2018-08-25";"00:06:11"
"68";"3";"114";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-25";"00:09:22"
"69";"3";"114";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-25";"00:09:31"
"70";"3";"115";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-25";"00:10:36"
"71";"3";"116";"Arie Galaxy";"Tidak Ada";"1";"1";"48";"2018-08-25";"00:12:01"
"72";"3";"116";"Arie Galaxy";"Tidak Ada";"1";"1";"48";"2018-08-25";"00:12:55"
"73";"3";"117";"Arie";"Tidak Ada";"1";"1";"48";"2018-08-25";"00:14:39"
"74";"3";"117";"Arie";"Tidak Ada";"1";"1";"48";"2018-08-25";"00:15:12"
"75";"3";"118";"Arie";"Tidak Ada";"1";"1";"48";"2018-08-25";"00:16:23"
"76";"3";"118";"Arie";"Tidak Ada";"1";"1";"48";"2018-08-25";"00:16:35"
"77";"109";"4445";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"13:20:24"
"78";"109";"4446";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"13:32:26"
"79";"109";"4447";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"13:51:03"
"80";"21";"777";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:30:31"
"81";"21";"778";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:33:34"
"82";"21";"779";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:34:43"
"83";"21";"780";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:36:38"
"84";"21";"781";"Joanne Simons";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:41:21"
"85";"21";"782";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:44:32"
"86";"22";"842";"Nirwono";"Tokoh Pemerintah";"1";"1";"37";"2018-08-25";"14:45:22"
"87";"21";"783";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:46:27"
"88";"21";"784";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:47:44"
"89";"21";"784";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:47:53"
"90";"21";"785";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:49:29"
"91";"21";"785";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:49:44"
"92";"21";"785";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:49:54"
"93";"21";"785";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:50:28"
"94";"21";"786";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:51:34"
"95";"21";"787";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:52:19"
"96";"21";"787";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:52:24"
"97";"21";"788";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:53:08"
"98";"21";"789";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:57:43"
"99";"21";"789";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:57:50"
"100";"21";"790";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:58:27"
"101";"21";"790";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:58:36"
"102";"21";"790";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:58:46"
"103";"21";"791";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:00:24"
"104";"21";"792";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:00:55"
"105";"21";"793";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:01:56"
"106";"21";"794";"Mikiki";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:03:17"
"107";"21";"795";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:05:07"
"108";"21";"796";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:05:54"
"109";"21";"797";"Simons";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:06:54"
"110";"21";"797";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:07:05"
"111";"21";"798";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:07:45"
"112";"21";"798";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:08:04"
"113";"21";"799";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:12:25"
"114";"21";"799";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:12:41"
"115";"21";"799";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:12:51"
"116";"21";"799";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:12:59"
"117";"21";"800";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:14:32"
"118";"21";"801";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:16:25"
"119";"21";"802";"Tidak Ada";"Tidak Ada";"1";"1";"31";"2018-08-25";"15:17:14"
"120";"23";"852";"Marc Marquez";"Atlet";"1";"1";"35";"2018-08-25";"15:55:20"
"121";"23";"853";"Tidak Ada";"Tidak Ada";"1";"1";"35";"2018-08-25";"16:00:22"
"122";"23";"854";"Marquez";"Atlet";"1";"1";"35";"2018-08-25";"16:03:02"
"123";"23";"855";"Tidak Ada";"Tidak Ada";"1";"1";"35";"2018-08-25";"16:07:13"
"124";"23";"856";"Marquez";"Atlet";"1";"1";"35";"2018-08-25";"16:09:38"
"125";"23";"857";"Mike Hailwood";"Atlet";"1";"1";"35";"2018-08-25";"16:11:20"
"126";"23";"858";"Marquez";"Atlet";"1";"1";"35";"2018-08-25";"16:13:59"
"127";"23";"859";"Valentino Rossi";"Tokoh Olahraga";"1";"1";"35";"2018-08-25";"16:15:22"
"128";"23";"859";"Valentino Rossi";"Atlet";"1";"1";"35";"2018-08-25";"16:15:36"
"129";"23";"860";"Marquez";"Atlet";"1";"1";"35";"2018-08-25";"16:21:37"
"130";"23";"860";"Giacomo Agostini";"Atlet";"1";"1";"35";"2018-08-25";"16:21:53"
"131";"109";"4445";"Tidak Ada";"Tidak Ada";"1";"1";"32";"2018-08-25";"16:40:22"
"132";"109";"4446";"Tidak Ada";"Tidak Ada";"1";"1";"32";"2018-08-25";"16:48:30"
"133";"109";"4447";"Tidak Ada";"Tidak Ada";"1";"1";"32";"2018-08-25";"16:49:44"
"134";"109";"4448";"Tidak Ada";"Tidak Ada";"1";"1";"32";"2018-08-25";"16:50:56"
"135";"109";"4449";"Tidak Ada";"Tidak Ada";"1";"1";"32";"2018-08-25";"16:52:42"
"136";"23";"861";"Marquez";"Atlet";"1";"1";"35";"2018-08-25";"16:57:06"
"137";"109";"4450";"Tole Madna";"Tidak Ada";"1";"1";"32";"2018-08-25";"16:57:46"
"138";"109";"4451";"Alfred Munzer";"Tidak Ada";"1";"1";"32";"2018-08-25";"16:58:55"
"139";"23";"862";"Marquez";"Atlet";"1";"1";"35";"2018-08-25";"16:59:02"
"140";"109";"4452";"Alfred Munzer";"Tidak Ada";"1";"1";"32";"2018-08-25";"17:00:24"
"141";"109";"4453";"Alfred";"Tidak Ada";"1";"1";"32";"2018-08-25";"17:04:15"
"142";"109";"4453";"Mima Saina";"Tidak Ada";"1";"1";"32";"2018-08-25";"17:04:32"
"143";"109";"4453";"Mima Saina";"Tidak Ada";"1";"1";"32";"2018-08-25";"17:04:38"
"144";"23";"863";"Agostini";"Atlet";"1";"1";"35";"2018-08-25";"17:21:00"
"145";"23";"864";"Marquez";"Atlet";"1";"1";"35";"2018-08-25";"17:23:59"
"146";"23";"865";"Tidak Ada";"Tidak Ada";"1";"1";"35";"2018-08-25";"17:29:02"
"147";"23";"866";"Tidak Ada";"Tidak Ada";"1";"1";"35";"2018-08-25";"17:33:12"
"148";"23";"867";"Marquez";"Atlet";"1";"1";"35";"2018-08-25";"17:35:16"
"149";"23";"867";"Andrea Dovizioso";"Atlet";"1";"1";"35";"2018-08-25";"17:35:29"
"150";"23";"868";"Marquez";"Atlet";"1";"1";"35";"2018-08-25";"17:36:57"
"151";"23";"868";"Johann Zarco";"Atlet";"1";"1";"35";"2018-08-25";"17:37:11"
"152";"23";"869";"Marquez";"Atlet";"1";"1";"35";"2018-08-25";"17:39:09"
"153";"35";"1566";"Tidak Ada";"Tidak Ada";"1";"1";"34";"2018-08-27";"11:14:02"
"154";"35";"1567";"Tidak Ada";"Tidak Ada";"1";"1";"34";"2018-08-27";"11:21:00"
"155";"35";"1568";"Tidak Ada";"Tidak Ada";"1";"1";"34";"2018-08-27";"11:24:03"
"156";"35";"1569";"Tidak Ada";"Tidak Ada";"1";"1";"34";"2018-08-27";"11:25:44"
"157";"197";"8572";"Tidak Ada";"Tidak Ada";"1";"1";"35";"2018-08-27";"13:20:58"
"158";"22";"843";"Tidak Ada";"Tidak Ada";"1";"1";"37";"2018-08-27";"17:24:38"
"159";"22";"844";"Tidak Ada";"Tidak Ada";"1";"1";"37";"2018-08-27";"17:38:16"
"160";"22";"845";"Tidak Ada";"Tidak Ada";"1";"1";"37";"2018-08-27";"17:55:27"
"161";"22";"846";"Nirwono";"Tokoh Pemerintah";"1";"1";"37";"2018-08-27";"17:59:02"
"162";"22";"846";"Sandiaga";"Tokoh Pemerintah";"1";"1";"37";"2018-08-27";"17:59:08"
"163";"22";"846";"Sandiaga";"Tidak Ada";"1";"1";"37";"2018-08-27";"17:59:24"
"164";"23";"870";"Marquez";"Atlet";"1";"1";"35";"2018-08-27";"18:04:41"
"165";"23";"871";"Marquez";"Atlet";"1";"1";"35";"2018-08-27";"18:06:43"
"166";"197";"8572";"Tidak Ada";"Tidak Ada";"1";"1";"40";"2018-08-27";"18:11:43"
"167";"197";"8573";"Tidak Ada";"Tidak Ada";"1";"1";"40";"2018-08-27";"18:15:35"
"168";"197";"8574";"Tidak Ada";"Tidak Ada";"1";"1";"40";"2018-08-27";"18:17:59"
"169";"197";"8575";"Tidak Ada";"Tidak Ada";"1";"1";"40";"2018-08-27";"18:29:20"
"170";"23";"872";"Marquez";"Atlet";"1";"1";"35";"2018-08-27";"18:33:01"
"171";"23";"872";"Dani Pedrosa";"Atlet";"1";"1";"35";"2018-08-27";"18:33:18"
"172";"23";"872";"Zarco";"Atlet";"1";"1";"35";"2018-08-27";"18:33:37"
"173";"22";"847";"Geraard Jeffrey Zacharias Rantung";"Direktur";"1";"1";"37";"2018-08-27";"18:38:16"
"174";"22";"847";"Sandi";"Tokoh Pemerintah";"1";"1";"37";"2018-08-27";"18:38:26"
"175";"197";"8578";"Tidak Ada";"Tidak Ada";"1";"1";"40";"2018-08-27";"18:43:21"
"176";"197";"8579";"Tidak Ada";"Tidak Ada";"1";"1";"40";"2018-08-27";"18:46:32"
"177";"197";"8580";"Tidak Ada";"Tidak Ada";"1";"1";"40";"2018-08-27";"18:50:48"
"178";"197";"8581";"Tidak Ada";"Tidak Ada";"1";"1";"40";"2018-08-27";"18:52:11"
"179";"22";"848";"Tidak Ada";"Tokoh Pemerintah";"1";"1";"37";"2018-08-27";"19:03:29"
"180";"23";"873";"Marquez";"Atlet";"1";"1";"35";"2018-08-27";"19:04:10"
"181";"23";"873";"Jorge Lorenzo";"Atlet";"1";"1";"35";"2018-08-27";"19:04:39"
"182";"23";"873";"Dovizioso";"Atlet";"1";"1";"35";"2018-08-27";"19:04:58"
"183";"22";"849";"Tidak Ada";"Tidak Ada";"1";"1";"37";"2018-08-27";"19:09:53"
"184";"100";"4134";"Tidak Ada";"Tidak Ada";"1";"1";"50";"2018-08-27";"19:11:45"
"185";"23";"874";"Marquez";"Atlet";"1";"1";"35";"2018-08-27";"19:17:29"
"186";"199";"8666";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"19:23:55"
"187";"199";"8666";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"19:24:19"
"188";"22";"850";"Sandiaga";"Tokoh Pemerintah";"1";"1";"37";"2018-08-27";"19:28:49"
"189";"199";"8667";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"19:33:47"
"190";"199";"8668";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"19:39:36"
"191";"199";"8669";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"19:46:31"
"192";"199";"8669";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"19:46:42"
"193";"199";"8669";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"19:46:57"
"194";"199";"8670";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"19:51:30"
"195";"199";"8670";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"19:51:48"
"196";"199";"8670";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"19:52:04"
"197";"199";"8670";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"19:52:16"
"198";"199";"8670";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"19:52:30"
"199";"199";"8670";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"19:52:44"
"200";"199";"8671";"Justin Forsyth";"Wakil Direktur";"1";"1";"57";"2018-08-27";"19:55:41"
"201";"199";"8671";"Justin Forsyth";"Wakil Direktur";"1";"1";"57";"2018-08-27";"19:55:58"
"202";"199";"8671";"Justin Forsyth";"Wakil Direktur";"1";"1";"57";"2018-08-27";"19:56:10"
"203";"199";"8671";"Justin Forsyth";"Wakil Direktur";"1";"1";"57";"2018-08-27";"19:56:24"
"204";"199";"8671";"Justin Forsyth";"Wakil Direktur";"1";"1";"57";"2018-08-27";"19:56:38"
"205";"199";"8671";"Justin Forsyth";"Wakil Direktur";"1";"1";"57";"2018-08-27";"19:56:50"
"206";"199";"8672";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:02:25"
"207";"199";"8672";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:02:39"
"208";"199";"8673";"Yohana Susana Yembise";"Direktur";"1";"1";"57";"2018-08-27";"20:06:52"
"209";"199";"8673";"Yohana Susana Yembise";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:07:06"
"210";"199";"8674";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:10:37"
"211";"199";"8675";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:13:57"
"212";"199";"8675";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:14:16"
"213";"199";"8675";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:14:28"
"214";"199";"8675";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:14:46"
"215";"199";"8676";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:17:41"
"216";"22";"810";"Sandiaga Uno";"Tokoh Pemerintah";"1";"1";"37";"2018-08-27";"20:22:42"
"217";"199";"8677";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:24:22"
"218";"199";"8678";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:33:18"
"219";"199";"8679";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:46:02"
"220";"199";"8680";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:49:37"
"221";"199";"8680";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:49:51"
"222";"199";"8680";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:50:07"
"223";"199";"8680";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:50:23"
"224";"199";"8681";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:54:07"
"225";"199";"8681";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:54:21"
"226";"199";"8682";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"20:58:10"
"227";"199";"8683";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:02:26"
"228";"199";"8684";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:09:29"
"229";"199";"8684";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:09:50"
"230";"199";"8684";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:10:07"
"231";"199";"8684";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:10:20"
"232";"199";"8684";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:10:33"
"233";"199";"8684";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:10:47"
"234";"199";"8684";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:11:00"
"235";"199";"8684";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:11:20"
"236";"199";"8684";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:11:32"
"237";"199";"8684";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:11:45"
"238";"199";"8685";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:19:39"
"239";"199";"8685";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:20:12"
"240";"199";"8686";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:26:02"
"241";"199";"8686";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:26:12"
"242";"199";"8687";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:34:14"
"243";"199";"8687";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:34:39"
"244";"199";"8687";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:34:48"
"245";"199";"8688";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:45:09"
"246";"199";"8688";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:45:22"
"247";"199";"8688";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:45:35"
"248";"199";"8689";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:53:45"
"249";"199";"8690";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"21:57:43"
"250";"199";"8691";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"22:05:03"
"251";"199";"8692";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"22:09:57"
"252";"199";"8692";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"22:10:05"
"253";"199";"8693";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"22:13:37"
"254";"199";"8693";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"22:13:42"
"255";"199";"8694";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"22:18:47"
"256";"199";"8694";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"22:19:24"
"257";"199";"8695";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"22:23:35"
"258";"199";"8695";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"22:23:39"
"259";"22";"811";"Tidak Ada";"Tidak Ada";"1";"1";"37";"2018-08-27";"22:25:32"
"260";"199";"8696";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"22:28:37"
"261";"22";"812";"Sandiaga";"Tokoh Pemerintah";"1";"1";"37";"2018-08-27";"22:35:47"
"262";"22";"812";"Sandiaga";"Tokoh Pemerintah";"1";"1";"37";"2018-08-27";"22:36:05"
"263";"199";"8697";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"22:44:35"
"264";"199";"8697";"Tidak Ada";"Tidak Ada";"1";"1";"57";"2018-08-27";"22:44:43"
"265";"22";"813";"Sandiaga Uno";"Tokoh Pemerintah";"1";"1";"37";"2018-08-27";"22:46:54"
"266";"22";"813";"Anies Baswedan";"Tokoh Pemerintah";"1";"1";"37";"2018-08-27";"22:46:58"
