"id_perusahaan";"id_berita";"id_kalimat";"nama_perusahaan";"isCorrect";"isValid";"id_submitter";"date_submit";"time_submit"
"97";"23";"855";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:07:45"
"98";"23";"856";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:10:42"
"99";"23";"857";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:13:02"
"100";"23";"858";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:14:37"
"101";"23";"859";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:20:05"
"102";"23";"860";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:25:09"
"103";"109";"4445";"Tidak Ada";"1";"2";"32";"2018-08-25";"16:41:57"
"104";"109";"4446";"Tidak Ada";"1";"2";"32";"2018-08-25";"16:48:45"
"105";"109";"4447";"Tidak Ada";"1";"2";"32";"2018-08-25";"16:49:57"
"106";"109";"4448";"Tidak Ada";"1";"2";"32";"2018-08-25";"16:51:34"
"107";"109";"4449";"Tidak Ada";"1";"2";"32";"2018-08-25";"16:53:23"
"108";"23";"861";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:57:50"
"109";"109";"4450";"Tidak Ada";"1";"2";"32";"2018-08-25";"16:58:03"
"110";"109";"4451";"Tidak Ada";"1";"2";"32";"2018-08-25";"16:59:26"
"111";"109";"4452";"Tidak Ada";"1";"2";"32";"2018-08-25";"17:02:13"
"112";"109";"4453";"Tidak Ada";"1";"2";"32";"2018-08-25";"17:05:31"
"113";"23";"862";"Tidak Ada";"1";"2";"35";"2018-08-25";"17:20:03"
"114";"23";"863";"Tidak Ada";"1";"2";"35";"2018-08-25";"17:23:30"
"115";"23";"864";"Tidak Ada";"1";"2";"35";"2018-08-25";"17:24:39"
"116";"23";"865";"Tidak Ada";"1";"2";"35";"2018-08-25";"17:28:57"
"117";"23";"866";"Tidak Ada";"1";"2";"35";"2018-08-25";"17:33:05"
"118";"23";"867";"Ducati";"1";"2";"35";"2018-08-25";"17:33:53"
"119";"23";"868";"Yamaha Tech 3";"1";"2";"35";"2018-08-25";"17:37:39"
"120";"23";"869";"Tidak Ada";"1";"2";"35";"2018-08-25";"17:41:15"
"121";"35";"1566";"NASA";"1";"2";"34";"2018-08-27";"11:05:23"
"122";"35";"1567";"Tidak Ada";"1";"2";"34";"2018-08-27";"11:21:14"
"123";"35";"1568";"Tidak Ada";"1";"2";"34";"2018-08-27";"11:23:55"
"124";"35";"1569";"Tidak Ada";"1";"2";"34";"2018-08-27";"11:25:35"
"125";"197";"8572";"Tidak Ada";"1";"2";"35";"2018-08-27";"13:21:25"
"126";"22";"843";"Tidak Ada";"1";"2";"37";"2018-08-27";"17:36:42"
"127";"22";"844";"Tidak Ada";"1";"2";"37";"2018-08-27";"17:42:48"
"128";"22";"845";"Tidak Ada";"1";"2";"37";"2018-08-27";"17:55:49"
"129";"22";"846";"Tidak Ada";"1";"2";"37";"2018-08-27";"17:59:51"
"130";"23";"870";"Tidak Ada";"1";"2";"35";"2018-08-27";"18:05:21"
"131";"197";"8572";"Tidak Ada";"1";"2";"40";"2018-08-27";"18:12:06"
"132";"197";"8573";"Tidak Ada";"1";"2";"40";"2018-08-27";"18:15:56"
"133";"197";"8574";"Tidak Ada";"1";"2";"40";"2018-08-27";"18:18:06"
"134";"23";"871";"Tidak Ada";"1";"2";"35";"2018-08-27";"18:26:27"
"135";"23";"872";"Tidak Ada";"1";"2";"35";"2018-08-27";"18:34:02"
"136";"197";"8575";"Tidak Ada";"1";"2";"40";"2018-08-27";"18:36:37"
"137";"22";"847";"PT Jaktour";"1";"2";"37";"2018-08-27";"18:37:34"
"138";"197";"8578";"Tidak Ada";"1";"2";"40";"2018-08-27";"18:43:28"
"139";"197";"8579";"Tidak Ada";"1";"2";"40";"2018-08-27";"18:47:50"
"140";"197";"8580";"Tidak Ada";"1";"2";"40";"2018-08-27";"18:51:01"
"141";"197";"8581";"Tidak Ada";"1";"2";"40";"2018-08-27";"18:52:38"
"142";"22";"848";"Tidak Ada";"1";"2";"37";"2018-08-27";"19:04:01"
"143";"23";"873";"Tidak Ada";"1";"2";"35";"2018-08-27";"19:05:14"
"144";"22";"849";"Tidak Ada";"1";"2";"37";"2018-08-27";"19:11:37"
"145";"100";"4134";"Tidak Ada";"1";"2";"50";"2018-08-27";"19:12:58"
"146";"23";"874";"Tidak Ada";"1";"2";"35";"2018-08-27";"19:19:21"
"147";"199";"8666";"Tidak Ada";"1";"2";"57";"2018-08-27";"19:29:51"
"148";"22";"850";"Tidak Ada";"1";"2";"37";"2018-08-27";"19:31:36"
"149";"199";"8667";"Tidak Ada";"1";"2";"57";"2018-08-27";"19:34:44"
"150";"199";"8668";"Tidak Ada";"1";"2";"57";"2018-08-27";"19:40:31"
"151";"199";"8669";"Tidak Ada";"1";"2";"57";"2018-08-27";"19:48:15"
"152";"199";"8670";"Tidak Ada";"1";"2";"57";"2018-08-27";"19:53:15"
"153";"199";"8671";"Tidak Ada";"1";"2";"57";"2018-08-27";"19:59:27"
"154";"199";"8672";"Tidak Ada";"1";"2";"57";"2018-08-27";"20:03:40"
"155";"199";"8673";"Tidak Ada";"1";"2";"57";"2018-08-27";"20:08:18"
"156";"199";"8674";"Tidak Ada";"1";"2";"57";"2018-08-27";"20:11:19"
"157";"199";"8675";"Tidak Ada";"1";"2";"57";"2018-08-27";"20:15:45"
"158";"199";"8675";"Tidak Ada";"1";"2";"57";"2018-08-27";"20:15:45"
"159";"199";"8676";"Tidak Ada";"1";"2";"57";"2018-08-27";"20:19:45"
"160";"199";"8677";"Tidak Ada";"1";"2";"57";"2018-08-27";"20:25:09"
"161";"22";"810";"Tidak Ada";"1";"2";"37";"2018-08-27";"20:28:05"
"162";"199";"8678";"Tidak Ada";"1";"2";"57";"2018-08-27";"20:35:15"
"163";"199";"8679";"Tidak Ada";"1";"2";"57";"2018-08-27";"20:47:33"
"164";"199";"8680";"Tidak Ada";"1";"2";"57";"2018-08-27";"20:51:14"
"165";"199";"8681";"Tidak Ada";"1";"2";"57";"2018-08-27";"20:54:48"
"166";"199";"8682";"Tidak Ada";"1";"2";"57";"2018-08-27";"20:58:50"
"167";"199";"8683";"Tidak Ada";"1";"2";"57";"2018-08-27";"21:02:53"
"168";"199";"8684";"Tidak Ada";"1";"2";"57";"2018-08-27";"21:13:09"
"169";"199";"8685";"Tidak Ada";"1";"2";"57";"2018-08-27";"21:22:38"
"170";"199";"8686";"Badan Pusat Statistik \(BPS\)";"1";"2";"57";"2018-08-27";"21:27:03"
"171";"199";"8687";"Tidak Ada";"1";"2";"57";"2018-08-27";"21:35:24"
"172";"199";"8688";"Tidak Ada";"1";"2";"57";"2018-08-27";"21:47:00"
"173";"199";"8689";"Tidak Ada";"1";"2";"57";"2018-08-27";"21:54:09"
"174";"199";"8690";"Tidak Ada";"1";"2";"57";"2018-08-27";"21:58:08"
"175";"199";"8691";"Tidak Ada";"1";"2";"57";"2018-08-27";"22:05:42"
"176";"199";"8692";"Kementerian PPPA";"1";"2";"57";"2018-08-27";"22:10:40"
"177";"199";"8693";"Tidak Ada";"1";"2";"57";"2018-08-27";"22:14:05"
"178";"199";"8694";"Tidak Ada";"1";"2";"57";"2018-08-27";"22:19:55"
"179";"199";"8695";"Tidak Ada";"1";"2";"57";"2018-08-27";"22:23:59"
"180";"22";"811";"Tidak Ada";"1";"2";"37";"2018-08-27";"22:26:54"
"181";"199";"8696";"Tidak Ada";"1";"2";"57";"2018-08-27";"22:29:21"
"182";"22";"812";"Tidak Ada";"1";"2";"37";"2018-08-27";"22:42:28"
"183";"22";"813";"Tidak Ada";"1";"2";"37";"2018-08-27";"22:48:16"
"184";"199";"8697";"Tidak Ada";"1";"2";"57";"2018-08-27";"22:54:01"
"185";"199";"8698";"Deputi Menteri PPPA Bidang Tumbuh Kembang Anak";"1";"2";"57";"2018-08-27";"22:58:41"
"186";"199";"8699";"Tidak Ada";"1";"2";"57";"2018-08-27";"23:02:51"
"187";"22";"814";"Tidak Ada";"1";"2";"37";"2018-08-27";"23:03:11"
"188";"199";"8700";"Tidak Ada";"1";"2";"57";"2018-08-27";"23:05:15"
"189";"199";"8701";"Tidak Ada";"1";"2";"57";"2018-08-27";"23:07:33"
"190";"199";"8702";"Tidak Ada";"1";"2";"57";"2018-08-27";"23:11:55"
"191";"199";"8703";"Koalisi Perempuan Indonesia \(KPI\)";"1";"2";"57";"2018-08-27";"23:23:06"
"192";"199";"8703";"Pengadilan Tinggi Agama Jateng";"1";"2";"57";"2018-08-27";"23:23:21"
"193";"199";"8704";"KPI";"1";"2";"57";"2018-08-27";"23:26:51"
"194";"22";"815";"Tidak Ada";"1";"2";"37";"2018-08-27";"23:27:58"
"195";"199";"8705";"Tidak Ada";"1";"2";"57";"2018-08-27";"23:29:10"
"196";"199";"8706";"Tidak Ada";"1";"2";"57";"2018-08-27";"23:31:58"
"197";"199";"8707";"Tidak Ada";"1";"2";"57";"2018-08-27";"23:34:08"
"198";"199";"8708";"SD";"1";"2";"57";"2018-08-27";"23:35:50"
"199";"199";"8709";"SMP-nya";"1";"2";"57";"2018-08-27";"23:38:10"
"200";"199";"8710";"SMP";"1";"2";"57";"2018-08-27";"23:42:24"
"201";"199";"8711";"Tidak Ada";"1";"2";"57";"2018-08-27";"23:47:48"
"202";"199";"8712";"Tidak Ada";"1";"2";"57";"2018-08-27";"23:53:50"
"203";"199";"8713";"Tidak Ada";"1";"2";"57";"2018-08-27";"23:56:35"
"204";"22";"816";"Tidak Ada";"1";"2";"37";"2018-08-28";"00:00:52"
"205";"22";"817";"PT Jakarta Tourisndo \(Jaktour\)";"1";"2";"37";"2018-08-28";"00:01:50"
"206";"22";"817";"Badan Usaha Milik Daerah \(BUMD\) DKI Jakarta";"1";"2";"37";"2018-08-28";"00:02:18"
"207";"199";"8714";"Tidak Ada";"1";"2";"57";"2018-08-28";"00:02:24"
"208";"199";"8715";"Tidak Ada";"1";"2";"57";"2018-08-28";"00:07:39"
"209";"199";"8716";"Tidak Ada";"1";"2";"57";"2018-08-28";"00:10:34"
"210";"199";"8717";"Tidak Ada";"1";"2";"57";"2018-08-28";"00:12:31"
"211";"199";"8718";"detikcom";"1";"2";"57";"2018-08-28";"00:14:50"
"212";"199";"8719";"Tidak Ada";"1";"2";"57";"2018-08-28";"00:18:58"
"213";"199";"8720";"Tidak Ada";"1";"2";"57";"2018-08-28";"00:22:07"
"214";"199";"8721";"Tidak Ada";"1";"2";"57";"2018-08-28";"00:26:18"
"215";"199";"8722";"Tidak Ada";"1";"2";"57";"2018-08-28";"00:28:46"
"216";"199";"8723";"Tidak Ada";"1";"2";"57";"2018-08-28";"00:32:14"
"217";"199";"8724";"Puspaga";"1";"2";"57";"2018-08-28";"00:35:11"
"218";"199";"8725";"Tidak Ada";"1";"2";"57";"2018-08-28";"00:38:28"
"219";"199";"8726";"Tidak Ada";"1";"2";"57";"2018-08-28";"00:41:07"
"220";"199";"8727";"Tidak Ada";"1";"2";"57";"2018-08-28";"00:43:31"
"221";"215";"9293";"Tidak Ada";"1";"2";"57";"2018-08-28";"01:20:47"
"222";"22";"818";"Tidak Ada";"1";"2";"37";"2018-08-28";"01:24:12"
"223";"22";"819";"Tidak Ada";"1";"2";"37";"2018-08-28";"01:26:26"
"224";"199";"8666";"Tidak Ada";"1";"2";"62";"2018-08-28";"10:30:26"
"225";"199";"8667";"Tidak Ada";"1";"2";"62";"2018-08-28";"10:35:27"
"226";"199";"8668";"Tidak Ada";"1";"2";"62";"2018-08-28";"10:39:25"
"227";"199";"8669";"Tidak Ada";"1";"2";"62";"2018-08-28";"10:44:17"
"228";"215";"9263";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:00:04"
"229";"199";"8670";"Tidak Ada";"1";"2";"62";"2018-08-28";"11:08:22"
"230";"199";"8671";"Tidak Ada";"1";"2";"62";"2018-08-28";"11:15:12"
"231";"215";"9264";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:15:36"
"232";"199";"8672";"Tidak Ada";"1";"2";"62";"2018-08-28";"11:18:15"
"233";"199";"8673";"Tidak Ada";"1";"2";"62";"2018-08-28";"11:20:41"
"234";"199";"8674";"Tidak Ada";"1";"2";"62";"2018-08-28";"11:22:05"
"235";"199";"8675";"Tidak Ada";"1";"2";"62";"2018-08-28";"11:25:55"
"236";"215";"9265";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:27:23"
"237";"199";"8676";"Tidak Ada";"1";"2";"62";"2018-08-28";"11:29:18"
"238";"215";"9266";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:29:42"
"239";"199";"8677";"Tidak Ada";"1";"2";"62";"2018-08-28";"11:32:05"
"240";"215";"9267";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:32:42"
"241";"199";"8678";"Tidak Ada";"1";"2";"62";"2018-08-28";"11:33:42"
"242";"215";"9268";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:33:56"
"243";"215";"9269";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:36:04"
"244";"215";"9270";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:38:55"
"245";"199";"8679";"Tidak Ada";"1";"2";"62";"2018-08-28";"11:39:42"
"246";"215";"9271";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:42:00"
"247";"215";"9272";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:43:35"
"248";"199";"8680";"Tidak Ada";"1";"2";"62";"2018-08-28";"11:43:44"
"249";"215";"9273";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:45:46"
"250";"199";"8681";"Tidak Ada";"1";"2";"62";"2018-08-28";"11:47:03"
"251";"215";"9274";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:48:07"
"252";"199";"8682";"Tidak Ada";"1";"2";"62";"2018-08-28";"11:49:02"
"253";"215";"9275";"Tidak Ada";"1";"2";"57";"2018-08-28";"11:49:51"
"254";"21";"803";"Newswire";"1";"2";"31";"2018-08-28";"16:36:06"
"255";"21";"803";"Foxnews";"1";"2";"31";"2018-08-28";"16:36:16"
"256";"21";"804";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:37:37"
"257";"21";"805";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:38:31"
"258";"21";"806";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:39:31"
"259";"21";"807";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:40:21"
"260";"21";"808";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:43:14"
"261";"21";"809";"Resto June's";"1";"2";"31";"2018-08-28";"16:43:27"
"262";"179";"7695";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:45:53"
"263";"179";"7696";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:46:42"
"264";"179";"7697";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:48:25"
"265";"179";"7698";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:49:51"
"266";"179";"7699";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:54:24"
"267";"179";"7700";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:55:41"
"268";"179";"7701";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:56:40"
"269";"179";"7702";"detikcom";"1";"2";"31";"2018-08-28";"16:58:09"
"270";"179";"7703";"Tidak Ada";"1";"2";"31";"2018-08-28";"16:59:13"
"271";"179";"7704";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:00:01"
"272";"179";"7705";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:01:24"
"273";"179";"7706";"Fairfax";"1";"2";"31";"2018-08-28";"17:02:25"
"274";"215";"9276";"Tidak Ada";"1";"2";"57";"2018-08-28";"17:04:27"
"275";"179";"7707";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:05:10"
"276";"179";"7708";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:06:44"
"277";"215";"9277";"Tidak Ada";"1";"2";"57";"2018-08-28";"17:07:24"
"278";"215";"9278";"Kompas\.com";"1";"2";"57";"2018-08-28";"17:09:29"
"279";"215";"9280";"Tidak Ada";"1";"2";"57";"2018-08-28";"17:11:08"
"280";"179";"7709";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:14:43"
"281";"179";"7710";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:15:45"
"282";"179";"7711";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:16:54"
"283";"179";"7712";"Fairfax";"1";"2";"31";"2018-08-28";"17:22:22"
"284";"179";"7713";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:23:53"
"285";"179";"7714";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:28:09"
"286";"179";"7715";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:30:20"
"287";"179";"7716";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:33:37"
"288";"179";"7717";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:34:52"
"289";"179";"7718";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:38:25"
"290";"179";"7719";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:39:38"
"291";"3";"98";"Tidak Ada";"1";"2";"2";"2018-08-28";"17:42:28"
"292";"179";"7720";"Tabloid Jubi";"1";"2";"31";"2018-08-28";"17:43:30"
"293";"3";"99";"Tidak Ada";"1";"2";"2";"2018-08-28";"17:47:33"
"294";"179";"7721";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:53:18"
"295";"179";"7722";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:56:19"
"296";"179";"7723";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:57:09"
"297";"179";"7724";"Tidak Ada";"1";"2";"31";"2018-08-28";"17:58:25"
"298";"179";"7725";"Freeport";"1";"2";"31";"2018-08-28";"18:00:44"
"299";"179";"7726";"Tidak Ada";"1";"2";"31";"2018-08-28";"18:03:30"
"300";"179";"7727";"Tidak Ada";"1";"2";"31";"2018-08-28";"18:05:36"
"301";"179";"7728";"Freeport";"1";"2";"31";"2018-08-28";"18:06:50"
"302";"179";"7729";"Tidak Ada";"1";"2";"31";"2018-08-28";"18:10:31"
"303";"179";"7730";"Kompas\.com";"1";"2";"31";"2018-08-28";"18:11:03"
"304";"179";"7730";"Kompas";"1";"2";"31";"2018-08-28";"18:11:14"
"305";"179";"7731";"Tidak Ada";"1";"2";"31";"2018-08-28";"18:22:39"
"306";"179";"7732";"Tidak Ada";"1";"2";"31";"2018-08-28";"18:23:27"
"307";"179";"7733";"Tidak Ada";"1";"2";"31";"2018-08-28";"18:26:18"
"308";"179";"7734";"Tidak Ada";"1";"2";"31";"2018-08-28";"18:27:17"
"309";"179";"7735";"Tidak Ada";"1";"2";"31";"2018-08-28";"18:28:26"
"310";"179";"7736";"Tidak Ada";"1";"2";"31";"2018-08-28";"18:29:02"
"311";"179";"7737";"Tidak Ada";"1";"2";"31";"2018-08-28";"18:29:36"
"312";"179";"7738";"Tabloid Jubi";"1";"2";"31";"2018-08-28";"18:30:48"
"313";"179";"7739";"Tidak Ada";"1";"2";"31";"2018-08-28";"18:31:31"
"314";"179";"7740";"Tidak Ada";"1";"2";"31";"2018-08-28";"18:32:19"
"315";"197";"8582";"Tidak Ada";"1";"2";"40";"2018-08-28";"19:34:51"
"316";"197";"8583";"Tidak Ada";"1";"2";"40";"2018-08-28";"19:35:57"
"317";"197";"8584";"Tidak Ada";"1";"2";"40";"2018-08-28";"19:38:14"
