"id_produk";"id_berita";"id_kalimat";"nama_produk";"isValid";"id_submitter";"date_submit";"time_submit"
"42";"15";"583";"Tidak Ada";"2";"32";"2018-08-24";"23:47:11"
"43";"3";"109";"Tidak Ada";"2";"48";"2018-08-24";"23:48:53"
"44";"15";"587";"Tidak Ada";"2";"32";"2018-08-24";"23:50:10"
"45";"3";"110";"Tidak Ada";"2";"48";"2018-08-24";"23:51:18"
"46";"15";"588";"Tidak Ada";"2";"32";"2018-08-24";"23:53:00"
"47";"3";"111";"Tidak Ada";"2";"48";"2018-08-24";"23:53:56"
"48";"3";"92";"Tidak Ada";"2";"32";"2018-08-24";"23:58:16"
"49";"3";"112";"Tidak Ada";"2";"48";"2018-08-25";"00:05:33"
"50";"3";"113";"Tidak Ada";"2";"48";"2018-08-25";"00:07:48"
"51";"3";"114";"Tidak Ada";"2";"48";"2018-08-25";"00:10:19"
"52";"3";"115";"Tidak Ada";"2";"48";"2018-08-25";"00:11:18"
"53";"3";"116";"Tidak Ada";"2";"48";"2018-08-25";"00:13:11"
"54";"3";"117";"Tidak Ada";"2";"48";"2018-08-25";"00:15:49"
"55";"3";"118";"Honda Jazz";"2";"48";"2018-08-25";"00:16:12"
"56";"109";"4445";"Tidak Ada";"2";"31";"2018-08-25";"13:25:19"
"57";"109";"4446";"Tidak Ada";"2";"31";"2018-08-25";"13:36:50"
"58";"109";"4447";"Tidak Ada";"2";"31";"2018-08-25";"13:51:49"
"59";"21";"777";"Tidak Ada";"2";"31";"2018-08-25";"14:32:20"
"60";"21";"778";"Tidak Ada";"2";"31";"2018-08-25";"14:34:19"
"61";"21";"779";"Tidak Ada";"2";"31";"2018-08-25";"14:35:41"
"62";"21";"780";"Tidak Ada";"2";"31";"2018-08-25";"14:37:29"
"63";"21";"781";"Tidak Ada";"2";"31";"2018-08-25";"14:42:47"
"64";"21";"782";"Tidak Ada";"2";"31";"2018-08-25";"14:44:49"
"65";"21";"783";"Tidak Ada";"2";"31";"2018-08-25";"14:47:05"
"66";"21";"784";"Tidak Ada";"2";"31";"2018-08-25";"14:48:43"
"67";"21";"785";"Tidak Ada";"2";"31";"2018-08-25";"14:50:51"
"68";"21";"786";"Tidak Ada";"2";"31";"2018-08-25";"14:51:58"
"69";"21";"787";"Tidak Ada";"2";"31";"2018-08-25";"14:52:47"
"70";"21";"788";"Tidak Ada";"2";"31";"2018-08-25";"14:53:36"
"71";"21";"789";"Tidak Ada";"2";"31";"2018-08-25";"14:58:12"
"72";"21";"790";"Tidak Ada";"2";"31";"2018-08-25";"14:59:16"
"73";"21";"791";"Tidak Ada";"2";"31";"2018-08-25";"15:00:42"
"74";"21";"792";"Tidak Ada";"2";"31";"2018-08-25";"15:01:27"
"75";"21";"793";"narkoba";"2";"31";"2018-08-25";"15:02:54"
"76";"21";"794";"Tidak Ada";"2";"31";"2018-08-25";"15:04:10"
"77";"21";"795";"Tidak Ada";"2";"31";"2018-08-25";"15:05:22"
"78";"21";"796";"Tidak Ada";"2";"31";"2018-08-25";"15:06:22"
"79";"21";"797";"Tidak Ada";"2";"31";"2018-08-25";"15:07:22"
"80";"21";"798";"Tidak Ada";"2";"31";"2018-08-25";"15:08:23"
"81";"21";"799";"Tidak Ada";"2";"31";"2018-08-25";"15:14:17"
"82";"21";"800";"Tidak Ada";"2";"31";"2018-08-25";"15:15:13"
"83";"21";"801";"Tidak Ada";"2";"31";"2018-08-25";"15:16:58"
"84";"21";"802";"Tidak Ada";"2";"31";"2018-08-25";"15:17:43"
"85";"23";"852";"Tidak Ada";"2";"35";"2018-08-25";"15:55:35"
"86";"23";"853";"Tidak Ada";"2";"35";"2018-08-25";"16:02:34"
"87";"23";"854";"Tidak Ada";"2";"35";"2018-08-25";"16:06:13"
"88";"23";"855";"Tidak Ada";"2";"35";"2018-08-25";"16:07:35"
"89";"23";"856";"Tidak Ada";"2";"35";"2018-08-25";"16:10:29"
"90";"23";"857";"Tidak Ada";"2";"35";"2018-08-25";"16:12:37"
"91";"23";"858";"pebalap termuda";"2";"35";"2018-08-25";"16:14:14"
"92";"23";"859";"Tidak Ada";"2";"35";"2018-08-25";"16:20:27"
"93";"23";"860";"Tidak Ada";"2";"35";"2018-08-25";"16:24:58"
"94";"109";"4445";"Tidak Ada";"2";"32";"2018-08-25";"16:44:02"
"95";"109";"4446";"Tidak Ada";"2";"32";"2018-08-25";"16:49:13"
"96";"109";"4447";"Tidak Ada";"2";"32";"2018-08-25";"16:50:26"
"97";"109";"4448";"Tidak Ada";"2";"32";"2018-08-25";"16:52:09"
"98";"109";"4449";"Tidak Ada";"2";"32";"2018-08-25";"16:53:40"
"99";"23";"861";"Tidak Ada";"2";"35";"2018-08-25";"16:58:14"
"100";"109";"4450";"Tidak Ada";"2";"32";"2018-08-25";"16:58:17"
"101";"109";"4451";"Tidak Ada";"2";"32";"2018-08-25";"16:59:47"
"102";"109";"4452";"Tidak Ada";"2";"32";"2018-08-25";"17:02:59"
"103";"109";"4453";"Tidak Ada";"2";"32";"2018-08-25";"17:06:08"
"104";"23";"862";"Tidak Ada";"2";"35";"2018-08-25";"17:19:57"
"105";"23";"863";"Tidak Ada";"2";"35";"2018-08-25";"17:23:19"
"106";"23";"864";"Tidak Ada";"2";"35";"2018-08-25";"17:24:26"
"107";"23";"865";"Tidak Ada";"2";"35";"2018-08-25";"17:28:47"
"108";"23";"866";"Tidak Ada";"2";"35";"2018-08-25";"17:32:55"
"109";"23";"867";"Tidak Ada";"2";"35";"2018-08-25";"17:36:28"
"110";"23";"868";"Tidak Ada";"2";"35";"2018-08-25";"17:38:17"
"111";"23";"869";"Tidak Ada";"2";"35";"2018-08-25";"17:41:03"
"112";"35";"1566";"Mars 2020";"2";"34";"2018-08-27";"11:07:42"
"113";"35";"1566";"Pathfinder";"2";"34";"2018-08-27";"11:08:23"
"114";"35";"1566";"Spirit";"2";"34";"2018-08-27";"11:08:36"
"115";"35";"1566";"Opportunity";"2";"34";"2018-08-27";"11:08:43"
"116";"35";"1566";"Curiosity";"2";"34";"2018-08-27";"11:08:58"
"117";"35";"1566";"Rover Mars 2020";"2";"34";"2018-08-27";"11:11:48"
"118";"35";"1566";"Mastcam-Z-";"2";"34";"2018-08-27";"11:12:17"
"119";"35";"1566";"Mastcam";"2";"34";"2018-08-27";"11:12:25"
"120";"35";"1566";"Navcams";"2";"34";"2018-08-27";"11:13:19"
"121";"35";"1567";"Tidak Ada";"2";"34";"2018-08-27";"11:21:31"
"122";"35";"1568";"foto";"2";"34";"2018-08-27";"11:22:15"
"123";"35";"1569";"Tidak Ada";"2";"34";"2018-08-27";"11:25:25"
"124";"197";"8572";"Tidak Ada";"2";"35";"2018-08-27";"13:21:11"
"125";"22";"842";"Tidak Ada";"2";"37";"2018-08-27";"17:23:57"
"126";"22";"843";"Tidak Ada";"2";"37";"2018-08-27";"17:37:55"
"127";"22";"844";"Tidak Ada";"2";"37";"2018-08-27";"17:55:11"
"128";"22";"845";"Tidak Ada";"2";"37";"2018-08-27";"17:56:50"
"129";"22";"846";"Tidak Ada";"2";"37";"2018-08-27";"18:00:34"
"130";"23";"870";"Tidak Ada";"2";"35";"2018-08-27";"18:05:11"
"131";"197";"8572";"Tidak Ada";"2";"40";"2018-08-27";"18:11:57"
"132";"197";"8573";"Tidak Ada";"2";"40";"2018-08-27";"18:15:45"
"133";"197";"8574";"Tidak Ada";"2";"40";"2018-08-27";"18:18:17"
"134";"23";"871";"Tidak Ada";"2";"35";"2018-08-27";"18:26:16"
"135";"23";"872";"Tidak Ada";"2";"35";"2018-08-27";"18:34:20"
"136";"197";"8575";"Tidak Ada";"2";"40";"2018-08-27";"18:37:02"
"137";"197";"8578";"Tidak Ada";"2";"40";"2018-08-27";"18:45:46"
"138";"197";"8579";"Tidak Ada";"2";"40";"2018-08-27";"18:48:10"
"139";"197";"8580";"Tidak Ada";"2";"40";"2018-08-27";"18:51:18"
"140";"197";"8581";"Tidak Ada";"2";"40";"2018-08-27";"18:52:57"
"141";"22";"847";"Tidak Ada";"2";"37";"2018-08-27";"19:03:07"
"142";"23";"873";"Tidak Ada";"2";"35";"2018-08-27";"19:05:27"
"143";"22";"848";"Tidak Ada";"2";"37";"2018-08-27";"19:05:51"
"144";"22";"849";"Tidak Ada";"2";"37";"2018-08-27";"19:11:41"
"145";"100";"4134";"Tidak Ada";"2";"50";"2018-08-27";"19:18:49"
"146";"23";"874";"Tidak Ada";"2";"35";"2018-08-27";"19:19:04"
"147";"22";"850";"Tidak Ada";"2";"37";"2018-08-27";"19:30:34"
"148";"199";"8666";"Tidak Ada";"2";"57";"2018-08-27";"19:31:54"
"149";"199";"8667";"Tidak Ada";"2";"57";"2018-08-27";"19:36:07"
"150";"199";"8667";"Tidak Ada";"2";"57";"2018-08-27";"19:36:08"
"151";"199";"8668";"Tidak Ada";"2";"57";"2018-08-27";"19:42:28"
"152";"199";"8669";"Tidak Ada";"2";"57";"2018-08-27";"19:49:14"
"153";"199";"8670";"Tidak Ada";"2";"57";"2018-08-27";"19:53:55"
"154";"199";"8671";"Tidak Ada";"2";"57";"2018-08-27";"20:00:17"
"155";"199";"8672";"Tidak Ada";"2";"57";"2018-08-27";"20:04:30"
"156";"199";"8673";"Tidak Ada";"2";"57";"2018-08-27";"20:09:08"
"157";"199";"8674";"Tidak Ada";"2";"57";"2018-08-27";"20:12:21"
"158";"199";"8675";"Tidak Ada";"2";"57";"2018-08-27";"20:16:41"
"159";"199";"8676";"Tidak Ada";"2";"57";"2018-08-27";"20:20:22"
"160";"199";"8677";"Tidak Ada";"2";"57";"2018-08-27";"20:25:38"
"161";"22";"810";"Tidak Ada";"2";"37";"2018-08-27";"20:28:50"
"162";"199";"8678";"Tidak Ada";"2";"57";"2018-08-27";"20:38:52"
"163";"199";"8679";"Tidak Ada";"2";"57";"2018-08-27";"20:48:12"
"164";"199";"8680";"Tidak Ada";"2";"57";"2018-08-27";"20:52:24"
"165";"199";"8681";"Tidak Ada";"2";"57";"2018-08-27";"20:55:27"
"166";"199";"8682";"Tidak Ada";"2";"57";"2018-08-27";"21:00:01"
"167";"199";"8683";"Tidak Ada";"2";"57";"2018-08-27";"21:03:43"
"168";"199";"8684";"Tidak Ada";"2";"57";"2018-08-27";"21:14:29"
"169";"199";"8685";"Tidak Ada";"2";"57";"2018-08-27";"21:23:23"
"170";"199";"8686";"Tidak Ada";"2";"57";"2018-08-27";"21:30:34"
"171";"199";"8687";"Tidak Ada";"2";"57";"2018-08-27";"21:36:32"
"172";"199";"8688";"Tidak Ada";"2";"57";"2018-08-27";"21:48:21"
"173";"199";"8689";"Tidak Ada";"2";"57";"2018-08-27";"21:54:47"
"174";"199";"8690";"Tidak Ada";"2";"57";"2018-08-27";"21:58:44"
"175";"199";"8691";"Tidak Ada";"2";"57";"2018-08-27";"22:07:49"
"176";"199";"8692";"Tidak Ada";"2";"57";"2018-08-27";"22:11:28"
"177";"199";"8693";"Tidak Ada";"2";"57";"2018-08-27";"22:14:59"
"178";"199";"8694";"Tidak Ada";"2";"57";"2018-08-27";"22:20:15"
"179";"199";"8695";"Tidak Ada";"2";"57";"2018-08-27";"22:24:28"
"180";"22";"811";"Tidak Ada";"2";"37";"2018-08-27";"22:26:38"
"181";"199";"8696";"Tidak Ada";"2";"57";"2018-08-27";"22:29:50"
"182";"22";"812";"Tidak Ada";"2";"37";"2018-08-27";"22:42:20"
"183";"22";"813";"Tidak Ada";"2";"37";"2018-08-27";"22:48:08"
"184";"199";"8697";"Tidak Ada";"2";"57";"2018-08-27";"22:55:19"
"185";"199";"8698";"Tidak Ada";"2";"57";"2018-08-27";"22:59:24"
"186";"22";"814";"Tidak Ada";"2";"37";"2018-08-27";"23:03:22"
"187";"199";"8699";"Tidak Ada";"2";"57";"2018-08-27";"23:03:28"
"188";"199";"8700";"Tidak Ada";"2";"57";"2018-08-27";"23:05:38"
"189";"199";"8701";"Tidak Ada";"2";"57";"2018-08-27";"23:07:56"
"190";"199";"8702";"Tidak Ada";"2";"57";"2018-08-27";"23:12:15"
"191";"199";"8703";"Tidak Ada";"2";"57";"2018-08-27";"23:23:58"
"192";"199";"8704";"Tidak Ada";"2";"57";"2018-08-27";"23:27:24"
"193";"22";"815";"Tidak Ada";"2";"37";"2018-08-27";"23:28:42"
"194";"199";"8705";"Tidak Ada";"2";"57";"2018-08-27";"23:29:38"
"195";"199";"8706";"Tidak Ada";"2";"57";"2018-08-27";"23:32:30"
"196";"199";"8707";"Tidak Ada";"2";"57";"2018-08-27";"23:34:28"
"197";"199";"8708";"Tidak Ada";"2";"57";"2018-08-27";"23:36:14"
"198";"199";"8709";"Tidak Ada";"2";"57";"2018-08-27";"23:38:36"
"199";"199";"8710";"Tidak Ada";"2";"57";"2018-08-27";"23:42:47"
"200";"199";"8711";"Tidak Ada";"2";"57";"2018-08-27";"23:48:23"
"201";"199";"8712";"Tidak Ada";"2";"57";"2018-08-27";"23:54:23"
"202";"199";"8713";"Tidak Ada";"2";"57";"2018-08-27";"23:56:57"
"203";"22";"816";"Tidak Ada";"2";"37";"2018-08-28";"00:01:34"
"204";"199";"8714";"Tidak Ada";"2";"57";"2018-08-28";"00:02:47"
"205";"22";"817";"Tidak Ada";"2";"37";"2018-08-28";"00:04:35"
"206";"199";"8715";"Tidak Ada";"2";"57";"2018-08-28";"00:08:06"
"207";"199";"8716";"Tidak Ada";"2";"57";"2018-08-28";"00:10:59"
"208";"199";"8717";"Tidak Ada";"2";"57";"2018-08-28";"00:12:56"
"209";"199";"8718";"Tidak Ada";"2";"57";"2018-08-28";"00:15:12"
"210";"199";"8719";"Tidak Ada";"2";"57";"2018-08-28";"00:19:17"
"211";"199";"8720";"Tidak Ada";"2";"57";"2018-08-28";"00:22:30"
"212";"199";"8721";"Tidak Ada";"2";"57";"2018-08-28";"00:26:43"
"213";"199";"8722";"Tidak Ada";"2";"57";"2018-08-28";"00:29:35"
"214";"199";"8723";"Tidak Ada";"2";"57";"2018-08-28";"00:32:36"
"215";"199";"8724";"Tidak Ada";"2";"57";"2018-08-28";"00:35:34"
"216";"199";"8725";"Tidak Ada";"2";"57";"2018-08-28";"00:39:06"
"217";"199";"8726";"Tidak Ada";"2";"57";"2018-08-28";"00:41:38"
"218";"199";"8727";"Tidak Ada";"2";"57";"2018-08-28";"00:44:12"
"219";"215";"9293";"Tidak Ada";"2";"57";"2018-08-28";"01:21:57"
"220";"22";"818";"Tidak Ada";"2";"37";"2018-08-28";"01:25:26"
"221";"22";"819";"Tidak Ada";"2";"37";"2018-08-28";"01:27:24"
"222";"199";"8666";"Tidak Ada";"2";"62";"2018-08-28";"10:32:15"
"223";"199";"8667";"Tidak Ada";"2";"62";"2018-08-28";"10:36:41"
"224";"199";"8668";"Tidak Ada";"2";"62";"2018-08-28";"10:40:42"
"225";"199";"8669";"Tidak Ada";"2";"62";"2018-08-28";"10:45:01"
"226";"215";"9263";"Tidak Ada";"2";"57";"2018-08-28";"11:00:48"
"227";"199";"8670";"Tidak Ada";"2";"62";"2018-08-28";"11:08:53"
"228";"199";"8670";"Tidak Ada";"2";"62";"2018-08-28";"11:08:56"
"229";"199";"8671";"Tidak Ada";"2";"62";"2018-08-28";"11:16:12"
"230";"215";"9264";"Tidak Ada";"2";"57";"2018-08-28";"11:16:23"
"231";"199";"8672";"Tidak Ada";"2";"62";"2018-08-28";"11:18:53"
"232";"199";"8673";"Tidak Ada";"2";"62";"2018-08-28";"11:21:07"
"233";"199";"8674";"Tidak Ada";"2";"62";"2018-08-28";"11:23:18"
"234";"199";"8675";"Tidak Ada";"2";"62";"2018-08-28";"11:26:45"
"235";"215";"9265";"Tidak Ada";"2";"57";"2018-08-28";"11:27:51"
"236";"199";"8676";"Tidak Ada";"2";"62";"2018-08-28";"11:29:57"
"237";"215";"9266";"Tidak Ada";"2";"57";"2018-08-28";"11:30:11"
"238";"215";"9267";"Tidak Ada";"2";"57";"2018-08-28";"11:32:09"
"239";"199";"8677";"Tidak Ada";"2";"62";"2018-08-28";"11:32:24"
"240";"199";"8678";"Tidak Ada";"2";"62";"2018-08-28";"11:34:15"
"241";"215";"9268";"Tidak Ada";"2";"57";"2018-08-28";"11:34:26"
"242";"215";"9269";"Tidak Ada";"2";"57";"2018-08-28";"11:36:47"
"243";"215";"9270";"Tidak Ada";"2";"57";"2018-08-28";"11:39:21"
"244";"199";"8679";"Tidak Ada";"2";"62";"2018-08-28";"11:41:31"
"245";"215";"9271";"Tidak Ada";"2";"57";"2018-08-28";"11:42:24"
"246";"215";"9272";"Tidak Ada";"2";"57";"2018-08-28";"11:44:12"
"247";"199";"8680";"Tidak Ada";"2";"62";"2018-08-28";"11:44:22"
"248";"215";"9273";"Tidak Ada";"2";"57";"2018-08-28";"11:46:08"
"249";"199";"8681";"Tidak Ada";"2";"62";"2018-08-28";"11:47:33"
"250";"215";"9274";"Tidak Ada";"2";"57";"2018-08-28";"11:47:51"
"251";"199";"8682";"Tidak Ada";"2";"62";"2018-08-28";"11:49:13"
"252";"215";"9275";"Tidak Ada";"2";"57";"2018-08-28";"11:50:13"
"253";"215";"9275";"Tidak Ada";"2";"57";"2018-08-28";"11:50:13"
"254";"21";"803";"Tidak Ada";"2";"31";"2018-08-28";"16:36:47"
"255";"21";"804";"Tidak Ada";"2";"31";"2018-08-28";"16:37:58"
"256";"21";"805";"Meals";"2";"31";"2018-08-28";"16:38:13"
"257";"21";"806";"pasta";"2";"31";"2018-08-28";"16:39:07"
"258";"21";"807";"one";"2";"31";"2018-08-28";"16:39:57"
"259";"21";"808";"Tidak Ada";"2";"31";"2018-08-28";"16:43:00"
"260";"21";"809";"Tidak Ada";"2";"31";"2018-08-28";"16:44:02"
"261";"179";"7695";"Tidak Ada";"2";"31";"2018-08-28";"16:46:07"
"262";"179";"7696";"Tidak Ada";"2";"31";"2018-08-28";"16:46:55"
"263";"179";"7697";"Tidak Ada";"2";"31";"2018-08-28";"16:48:37"
"264";"179";"7698";"Tidak Ada";"2";"31";"2018-08-28";"16:50:22"
"265";"179";"7699";"Tidak Ada";"2";"31";"2018-08-28";"16:54:16"
"266";"179";"7700";"Tidak Ada";"2";"31";"2018-08-28";"16:55:51"
"267";"179";"7701";"Tidak Ada";"2";"31";"2018-08-28";"16:57:01"
"268";"179";"7702";"Tidak Ada";"2";"31";"2018-08-28";"16:58:39"
"269";"179";"7703";"Tidak Ada";"2";"31";"2018-08-28";"16:59:23"
"270";"179";"7704";"Tidak Ada";"2";"31";"2018-08-28";"17:00:22"
"271";"179";"7705";"Tidak Ada";"2";"31";"2018-08-28";"17:02:08"
"272";"179";"7706";"Tidak Ada";"2";"31";"2018-08-28";"17:03:48"
"273";"215";"9276";"Tidak Ada";"2";"57";"2018-08-28";"17:05:01"
"274";"179";"7707";"Tidak Ada";"2";"31";"2018-08-28";"17:05:28"
"275";"179";"7708";"Tidak Ada";"2";"31";"2018-08-28";"17:07:00"
"276";"215";"9277";"Tidak Ada";"2";"57";"2018-08-28";"17:07:48"
"277";"215";"9278";"Tidak Ada";"2";"57";"2018-08-28";"17:09:52"
"278";"215";"9280";"Tidak Ada";"2";"57";"2018-08-28";"17:11:34"
"279";"179";"7709";"Tidak Ada";"2";"31";"2018-08-28";"17:14:59"
"280";"179";"7710";"Tidak Ada";"2";"31";"2018-08-28";"17:15:59"
"281";"179";"7711";"Tidak Ada";"2";"31";"2018-08-28";"17:17:27"
"282";"179";"7712";"Tidak Ada";"2";"31";"2018-08-28";"17:23:22"
"283";"179";"7713";"Tidak Ada";"2";"31";"2018-08-28";"17:24:06"
"284";"179";"7714";"Tidak Ada";"2";"31";"2018-08-28";"17:28:23"
"285";"179";"7715";"Tidak Ada";"2";"31";"2018-08-28";"17:30:34"
"286";"179";"7716";"Tidak Ada";"2";"31";"2018-08-28";"17:33:48"
"287";"179";"7717";"Tidak Ada";"2";"31";"2018-08-28";"17:35:09"
"288";"179";"7718";"Tidak Ada";"2";"31";"2018-08-28";"17:38:39"
"289";"179";"7719";"Tidak Ada";"2";"31";"2018-08-28";"17:42:23"
"290";"179";"7720";"Tidak Ada";"2";"31";"2018-08-28";"17:43:44"
"291";"3";"98";"Tidak Ada";"2";"2";"2018-08-28";"17:45:50"
"292";"3";"99";"Tidak Ada";"2";"2";"2018-08-28";"17:49:09"
"293";"179";"7721";"Tidak Ada";"2";"31";"2018-08-28";"17:53:26"
"294";"179";"7722";"Tidak Ada";"2";"31";"2018-08-28";"17:56:34"
"295";"179";"7723";"Tidak Ada";"2";"31";"2018-08-28";"17:57:21"
"296";"179";"7724";"Tidak Ada";"2";"31";"2018-08-28";"17:58:13"
"297";"179";"7725";"Tidak Ada";"2";"31";"2018-08-28";"18:01:25"
"298";"179";"7726";"Tidak Ada";"2";"31";"2018-08-28";"18:03:51"
"299";"179";"7727";"Tidak Ada";"2";"31";"2018-08-28";"18:06:40"
"300";"179";"7728";"Tidak Ada";"2";"31";"2018-08-28";"18:07:07"
"301";"179";"7729";"Tidak Ada";"2";"31";"2018-08-28";"18:10:48"
"302";"179";"7730";"Tidak Ada";"2";"31";"2018-08-28";"18:11:50"
"303";"179";"7731";"Tidak Ada";"2";"31";"2018-08-28";"18:23:01"
"304";"179";"7732";"Tidak Ada";"2";"31";"2018-08-28";"18:23:48"
"305";"179";"7733";"Tidak Ada";"2";"31";"2018-08-28";"18:26:31"
"306";"179";"7734";"Tidak Ada";"2";"31";"2018-08-28";"18:27:31"
"307";"179";"7735";"Tidak Ada";"2";"31";"2018-08-28";"18:28:45"
"308";"179";"7736";"Tidak Ada";"2";"31";"2018-08-28";"18:29:13"
"309";"179";"7737";"Tidak Ada";"2";"31";"2018-08-28";"18:29:55"
"310";"179";"7738";"Tidak Ada";"2";"31";"2018-08-28";"18:31:08"
"311";"179";"7739";"Tidak Ada";"2";"31";"2018-08-28";"18:31:44"
"312";"179";"7740";"Tidak Ada";"2";"31";"2018-08-28";"18:32:32"
"313";"197";"8582";"Tidak Ada";"2";"40";"2018-08-28";"19:35:09"
"314";"197";"8583";"Tidak Ada";"2";"40";"2018-08-28";"19:36:12"
"315";"197";"8584";"Tidak Ada";"2";"40";"2018-08-28";"19:38:32"
"316";"197";"8585";"Tidak Ada";"2";"40";"2018-08-28";"19:42:32"
"317";"197";"8586";"Tidak Ada";"2";"40";"2018-08-28";"19:44:38"
"318";"197";"8587";"Tidak Ada";"2";"40";"2018-08-28";"19:49:18"
"319";"197";"8588";"Tidak Ada";"2";"40";"2018-08-28";"19:52:48"
"320";"197";"8589";"Tidak Ada";"2";"40";"2018-08-28";"19:56:02"
"321";"100";"4135";"Tidak Ada";"2";"50";"2018-08-28";"20:00:18"
"322";"197";"8590";"Tidak Ada";"2";"40";"2018-08-28";"20:01:39"
"323";"197";"8591";"Tidak Ada";"2";"40";"2018-08-28";"20:03:30"
"324";"197";"8592";"Tidak Ada";"2";"40";"2018-08-28";"20:04:39"
"325";"197";"8593";"Tidak Ada";"2";"40";"2018-08-28";"20:09:13"
"326";"22";"820";"Tidak Ada";"2";"37";"2018-08-28";"20:11:38"
"327";"22";"821";"Tidak Ada";"2";"37";"2018-08-28";"20:15:59"
"328";"197";"8594";"Tidak Ada";"2";"40";"2018-08-28";"20:16:16"
"329";"197";"8595";"Tidak Ada";"2";"40";"2018-08-28";"20:17:03"
"330";"197";"8596";"Tidak Ada";"2";"40";"2018-08-28";"20:29:03"
"331";"197";"8597";"Tidak Ada";"2";"40";"2018-08-28";"20:31:18"
"332";"197";"8598";"Tidak Ada";"2";"40";"2018-08-28";"20:32:48"
"333";"197";"8599";"Tidak Ada";"2";"40";"2018-08-28";"20:34:47"
"334";"197";"8600";"Tidak Ada";"2";"40";"2018-08-28";"20:35:36"
"335";"197";"8601";"Tidak Ada";"2";"40";"2018-08-28";"20:36:23"
"336";"197";"8602";"Tidak Ada";"2";"40";"2018-08-28";"20:38:42"
"337";"197";"8603";"Tidak Ada";"2";"40";"2018-08-28";"20:40:25"
"338";"197";"8604";"Tidak Ada";"2";"40";"2018-08-28";"20:41:51"
"339";"197";"8605";"Tidak Ada";"2";"40";"2018-08-28";"20:43:03"
"340";"197";"8606";"Tidak Ada";"2";"40";"2018-08-28";"20:44:33"
"341";"197";"8607";"Tidak Ada";"2";"40";"2018-08-28";"20:46:41"
"342";"206";"8948";"Tidak Ada";"2";"40";"2018-08-28";"20:47:55"
"343";"206";"8949";"Tidak Ada";"2";"40";"2018-08-28";"20:49:39"
