"id_money";"id_berita";"id_kalimat";"money";"isValid";"id_submitter";"date_submit";"time_submit"
"87";"21";"792";"Tidak Ada";"1";"31";"2018-08-25";"15:01:23"
"88";"21";"793";"Tidak Ada";"1";"31";"2018-08-25";"15:02:57"
"89";"21";"794";"Tidak Ada";"1";"31";"2018-08-25";"15:04:06"
"90";"21";"795";"Tidak Ada";"1";"31";"2018-08-25";"15:05:28"
"91";"21";"796";"Tidak Ada";"1";"31";"2018-08-25";"15:06:18"
"92";"21";"797";"Tidak Ada";"1";"31";"2018-08-25";"15:07:18"
"93";"21";"798";"Tidak Ada";"1";"31";"2018-08-25";"15:08:19"
"94";"21";"799";"Tidak Ada";"1";"31";"2018-08-25";"15:14:15"
"95";"21";"800";"Tidak Ada";"1";"31";"2018-08-25";"15:15:08"
"96";"21";"801";"Tidak Ada";"1";"31";"2018-08-25";"15:16:51"
"97";"21";"802";"Tidak Ada";"1";"31";"2018-08-25";"15:17:36"
"98";"23";"852";"Tidak Ada";"1";"35";"2018-08-25";"15:55:38"
"99";"23";"853";"Tidak Ada";"1";"35";"2018-08-25";"16:02:22"
"100";"23";"854";"Tidak Ada";"1";"35";"2018-08-25";"16:04:39"
"101";"23";"855";"Tidak Ada";"1";"35";"2018-08-25";"16:07:40"
"102";"23";"856";"Tidak Ada";"1";"35";"2018-08-25";"16:10:33"
"103";"23";"857";"Tidak Ada";"1";"35";"2018-08-25";"16:13:10"
"104";"23";"858";"Tidak Ada";"1";"35";"2018-08-25";"16:14:52"
"105";"23";"859";"Tidak Ada";"1";"35";"2018-08-25";"16:20:17"
"106";"23";"860";"Tidak Ada";"1";"35";"2018-08-25";"16:25:03"
"107";"109";"4445";"Tidak Ada";"1";"32";"2018-08-25";"16:43:00"
"108";"109";"4446";"Tidak Ada";"1";"32";"2018-08-25";"16:49:09"
"109";"109";"4447";"Tidak Ada";"1";"32";"2018-08-25";"16:50:21"
"110";"109";"4448";"Tidak Ada";"1";"32";"2018-08-25";"16:51:57"
"111";"109";"4449";"Tidak Ada";"1";"32";"2018-08-25";"16:53:34"
"112";"109";"4450";"Tidak Ada";"1";"32";"2018-08-25";"16:58:12"
"113";"23";"861";"Tidak Ada";"1";"35";"2018-08-25";"16:58:18"
"114";"109";"4451";"Tidak Ada";"1";"32";"2018-08-25";"16:59:36"
"115";"109";"4452";"Tidak Ada";"1";"32";"2018-08-25";"17:02:30"
"116";"109";"4453";"Tidak Ada";"1";"32";"2018-08-25";"17:05:58"
"117";"23";"862";"Tidak Ada";"1";"35";"2018-08-25";"17:19:34"
"118";"23";"863";"Tidak Ada";"1";"35";"2018-08-25";"17:23:24"
"119";"23";"864";"Tidak Ada";"1";"35";"2018-08-25";"17:24:29"
"120";"23";"865";"Tidak Ada";"1";"35";"2018-08-25";"17:28:50"
"121";"23";"866";"Tidak Ada";"1";"35";"2018-08-25";"17:32:59"
"122";"23";"867";"Tidak Ada";"1";"35";"2018-08-25";"17:36:33"
"123";"23";"868";"Tidak Ada";"1";"35";"2018-08-25";"17:38:21"
"124";"23";"869";"Tidak Ada";"1";"35";"2018-08-25";"17:41:07"
"125";"35";"1566";"Tidak Ada";"1";"34";"2018-08-27";"11:18:29"
"126";"35";"1567";"Tidak Ada";"1";"34";"2018-08-27";"11:21:23"
"127";"35";"1568";"Tidak Ada";"1";"34";"2018-08-27";"11:23:51"
"128";"35";"1569";"Tidak Ada";"1";"34";"2018-08-27";"11:25:29"
"129";"197";"8572";"Tidak Ada";"1";"35";"2018-08-27";"13:21:15"
"130";"22";"842";"Tidak Ada";"1";"37";"2018-08-27";"17:23:49"
"131";"22";"843";"Tidak Ada";"1";"37";"2018-08-27";"17:37:44"
"132";"22";"844";"Tidak Ada";"1";"37";"2018-08-27";"17:55:07"
"133";"22";"845";"Tidak Ada";"1";"37";"2018-08-27";"17:56:46"
"134";"22";"846";"Tidak Ada";"1";"37";"2018-08-27";"18:00:30"
"135";"23";"870";"Tidak Ada";"1";"35";"2018-08-27";"18:05:15"
"136";"197";"8572";"Tidak Ada";"1";"40";"2018-08-27";"18:12:02"
"137";"197";"8573";"Tidak Ada";"1";"40";"2018-08-27";"18:15:49"
"138";"197";"8574";"Tidak Ada";"1";"40";"2018-08-27";"18:18:22"
"139";"23";"871";"Tidak Ada";"1";"35";"2018-08-27";"18:26:20"
"140";"23";"872";"Tidak Ada";"1";"35";"2018-08-27";"18:34:14"
"141";"197";"8575";"Tidak Ada";"1";"40";"2018-08-27";"18:36:53"
"142";"197";"8578";"Tidak Ada";"1";"40";"2018-08-27";"18:45:43"
"143";"197";"8579";"Tidak Ada";"1";"40";"2018-08-27";"18:48:01"
"144";"197";"8580";"Tidak Ada";"1";"40";"2018-08-27";"18:51:12"
"145";"197";"8581";"Tidak Ada";"1";"40";"2018-08-27";"18:52:50"
"146";"22";"847";"Tidak Ada";"1";"37";"2018-08-27";"18:55:03"
"147";"23";"873";"Tidak Ada";"1";"35";"2018-08-27";"19:05:32"
"148";"22";"848";"Tidak Ada";"1";"37";"2018-08-27";"19:05:54"
"149";"22";"849";"Tidak Ada";"1";"37";"2018-08-27";"19:11:31"
"150";"100";"4134";"Tidak Ada";"1";"50";"2018-08-27";"19:17:52"
"151";"23";"874";"Tidak Ada";"1";"35";"2018-08-27";"19:19:12"
"152";"22";"850";"Tidak Ada";"1";"37";"2018-08-27";"19:30:31"
"153";"199";"8666";"Tidak Ada";"1";"57";"2018-08-27";"19:31:24"
"154";"199";"8667";"Tidak Ada";"1";"57";"2018-08-27";"19:35:36"
"155";"199";"8668";"Tidak Ada";"1";"57";"2018-08-27";"19:42:06"
"156";"199";"8669";"Tidak Ada";"1";"57";"2018-08-27";"19:48:56"
"157";"199";"8670";"Tidak Ada";"1";"57";"2018-08-27";"19:53:47"
"158";"199";"8671";"Tidak Ada";"1";"57";"2018-08-27";"20:00:02"
"159";"199";"8672";"Tidak Ada";"1";"57";"2018-08-27";"20:04:14"
"160";"199";"8673";"Tidak Ada";"1";"57";"2018-08-27";"20:08:46"
"161";"199";"8674";"Tidak Ada";"1";"57";"2018-08-27";"20:11:45"
"162";"199";"8675";"Tidak Ada";"1";"57";"2018-08-27";"20:16:31"
"163";"199";"8676";"Tidak Ada";"1";"57";"2018-08-27";"20:20:03"
"164";"199";"8677";"Tidak Ada";"1";"57";"2018-08-27";"20:25:30"
"165";"22";"810";"Tidak Ada";"1";"37";"2018-08-27";"20:28:46"
"166";"199";"8678";"Tidak Ada";"1";"57";"2018-08-27";"20:38:18"
"167";"199";"8679";"Tidak Ada";"1";"57";"2018-08-27";"20:47:57"
"168";"199";"8680";"Tidak Ada";"1";"57";"2018-08-27";"20:52:03"
"169";"199";"8681";"Tidak Ada";"1";"57";"2018-08-27";"20:55:16"
"170";"199";"8682";"Tidak Ada";"1";"57";"2018-08-27";"20:59:53"
"171";"199";"8683";"Tidak Ada";"1";"57";"2018-08-27";"21:03:25"
"172";"199";"8684";"Tidak Ada";"1";"57";"2018-08-27";"21:15:46"
"173";"199";"8685";"Tidak Ada";"1";"57";"2018-08-27";"21:22:58"
"174";"199";"8686";"Tidak Ada";"1";"57";"2018-08-27";"21:29:56"
"175";"199";"8687";"Tidak Ada";"1";"57";"2018-08-27";"21:35:47"
"176";"199";"8688";"Tidak Ada";"1";"57";"2018-08-27";"21:47:34"
"177";"199";"8689";"Tidak Ada";"1";"57";"2018-08-27";"21:54:30"
"178";"199";"8690";"Tidak Ada";"1";"57";"2018-08-27";"21:58:36"
"179";"199";"8691";"Tidak Ada";"1";"57";"2018-08-27";"22:06:27"
"180";"199";"8692";"Tidak Ada";"1";"57";"2018-08-27";"22:11:04"
"181";"199";"8693";"Tidak Ada";"1";"57";"2018-08-27";"22:14:31"
"182";"199";"8694";"Tidak Ada";"1";"57";"2018-08-27";"22:20:08"
"183";"199";"8695";"Tidak Ada";"1";"57";"2018-08-27";"22:24:18"
"184";"22";"811";"Tidak Ada";"1";"37";"2018-08-27";"22:26:41"
"185";"199";"8696";"Tidak Ada";"1";"57";"2018-08-27";"22:29:36"
"186";"22";"812";"Tidak Ada";"1";"37";"2018-08-27";"22:42:17"
"187";"22";"813";"Tidak Ada";"1";"37";"2018-08-27";"22:48:04"
"188";"199";"8697";"Tidak Ada";"1";"57";"2018-08-27";"22:54:49"
"189";"199";"8698";"Tidak Ada";"2";"57";"2018-08-27";"22:59:15"
"190";"22";"814";"Tidak Ada";"1";"37";"2018-08-27";"23:03:18"
"191";"199";"8699";"Tidak Ada";"2";"57";"2018-08-27";"23:03:19"
"192";"199";"8700";"Tidak Ada";"2";"57";"2018-08-27";"23:05:27"
"193";"199";"8701";"Tidak Ada";"2";"57";"2018-08-27";"23:07:47"
"194";"199";"8702";"Tidak Ada";"2";"57";"2018-08-27";"23:12:07"
"195";"199";"8703";"Tidak Ada";"2";"57";"2018-08-27";"23:23:48"
"196";"199";"8704";"Tidak Ada";"2";"57";"2018-08-27";"23:27:17"
"197";"22";"815";"Tidak Ada";"2";"37";"2018-08-27";"23:28:46"
"198";"199";"8705";"Tidak Ada";"2";"57";"2018-08-27";"23:29:29"
"199";"199";"8706";"Tidak Ada";"2";"57";"2018-08-27";"23:32:14"
"200";"199";"8707";"Tidak Ada";"2";"57";"2018-08-27";"23:34:21"
"201";"199";"8708";"Tidak Ada";"2";"57";"2018-08-27";"23:36:07"
"202";"199";"8709";"Tidak Ada";"2";"57";"2018-08-27";"23:38:26"
"203";"199";"8710";"Tidak Ada";"2";"57";"2018-08-27";"23:42:38"
"204";"199";"8711";"Tidak Ada";"2";"57";"2018-08-27";"23:48:09"
"205";"199";"8712";"Tidak Ada";"2";"57";"2018-08-27";"23:54:02"
"206";"199";"8713";"Tidak Ada";"2";"57";"2018-08-27";"23:56:49"
"207";"22";"816";"Tidak Ada";"2";"37";"2018-08-28";"00:01:30"
"208";"199";"8714";"Tidak Ada";"2";"57";"2018-08-28";"00:02:38"
"209";"22";"817";"Tidak Ada";"2";"37";"2018-08-28";"00:04:32"
"210";"199";"8715";"Tidak Ada";"2";"57";"2018-08-28";"00:07:54"
"211";"199";"8716";"Tidak Ada";"2";"57";"2018-08-28";"00:10:48"
"212";"199";"8717";"Tidak Ada";"2";"57";"2018-08-28";"00:12:46"
"213";"199";"8718";"Tidak Ada";"2";"57";"2018-08-28";"00:15:03"
"214";"199";"8719";"Tidak Ada";"2";"57";"2018-08-28";"00:19:10"
"215";"199";"8720";"Tidak Ada";"2";"57";"2018-08-28";"00:22:20"
"216";"199";"8721";"Tidak Ada";"2";"57";"2018-08-28";"00:26:34"
"217";"199";"8722";"Tidak Ada";"2";"57";"2018-08-28";"00:29:20"
"218";"199";"8723";"Tidak Ada";"2";"57";"2018-08-28";"00:32:27"
"219";"199";"8724";"Tidak Ada";"2";"57";"2018-08-28";"00:35:27"
"220";"199";"8725";"Tidak Ada";"2";"57";"2018-08-28";"00:38:53"
"221";"199";"8726";"Tidak Ada";"2";"57";"2018-08-28";"00:41:30"
"222";"199";"8727";"Tidak Ada";"2";"57";"2018-08-28";"00:43:57"
"223";"215";"9293";"Tidak Ada";"2";"57";"2018-08-28";"01:21:31"
"224";"22";"818";"Tidak Ada";"2";"37";"2018-08-28";"01:25:21"
"225";"22";"819";"Tidak Ada";"2";"37";"2018-08-28";"01:27:20"
"226";"199";"8666";"Tidak Ada";"2";"62";"2018-08-28";"10:31:08"
"227";"199";"8667";"Tidak Ada";"2";"62";"2018-08-28";"10:36:19"
"228";"199";"8668";"Tidak Ada";"2";"62";"2018-08-28";"10:40:24"
"229";"199";"8669";"Tidak Ada";"2";"62";"2018-08-28";"10:44:46"
"230";"215";"9263";"Tidak Ada";"2";"57";"2018-08-28";"11:00:25"
"231";"199";"8670";"Tidak Ada";"2";"62";"2018-08-28";"11:08:57"
"232";"199";"8670";"Tidak Ada";"2";"62";"2018-08-28";"11:08:58"
"233";"215";"9264";"Tidak Ada";"2";"57";"2018-08-28";"11:15:58"
"234";"199";"8671";"Tidak Ada";"2";"62";"2018-08-28";"11:16:07"
"235";"199";"8672";"Tidak Ada";"2";"62";"2018-08-28";"11:18:48"
"236";"199";"8673";"Tidak Ada";"2";"62";"2018-08-28";"11:21:02"
"237";"199";"8674";"Tidak Ada";"2";"62";"2018-08-28";"11:22:50"
"238";"199";"8675";"Tidak Ada";"2";"62";"2018-08-28";"11:26:31"
"239";"215";"9265";"Tidak Ada";"2";"57";"2018-08-28";"11:27:32"
"240";"199";"8676";"Tidak Ada";"2";"62";"2018-08-28";"11:29:51"
"241";"215";"9266";"Tidak Ada";"2";"57";"2018-08-28";"11:29:55"
"242";"215";"9267";"Tidak Ada";"2";"57";"2018-08-28";"11:31:57"
"243";"199";"8677";"Tidak Ada";"2";"62";"2018-08-28";"11:32:27"
"244";"199";"8678";"Tidak Ada";"2";"62";"2018-08-28";"11:33:55"
"245";"215";"9268";"Tidak Ada";"2";"57";"2018-08-28";"11:34:08"
"246";"215";"9269";"Tidak Ada";"2";"57";"2018-08-28";"11:36:13"
"247";"215";"9270";"Tidak Ada";"2";"57";"2018-08-28";"11:39:05"
"248";"199";"8679";"Tidak Ada";"2";"62";"2018-08-28";"11:41:22"
"249";"215";"9271";"Tidak Ada";"2";"57";"2018-08-28";"11:42:14"
"250";"215";"9272";"Tidak Ada";"2";"57";"2018-08-28";"11:43:52"
"251";"199";"8680";"Tidak Ada";"2";"62";"2018-08-28";"11:43:57"
"252";"215";"9273";"Tidak Ada";"2";"57";"2018-08-28";"11:45:56"
"253";"199";"8681";"Tidak Ada";"2";"62";"2018-08-28";"11:47:14"
"254";"215";"9274";"Tidak Ada";"2";"57";"2018-08-28";"11:47:28"
"255";"199";"8682";"Tidak Ada";"2";"62";"2018-08-28";"11:49:15"
"256";"215";"9275";"Tidak Ada";"2";"57";"2018-08-28";"11:50:06"
"257";"21";"803";"Tidak Ada";"2";"31";"2018-08-28";"16:36:42"
"258";"21";"804";"Tidak Ada";"2";"31";"2018-08-28";"16:37:46"
"259";"21";"805";"Tidak Ada";"2";"31";"2018-08-28";"16:38:40"
"260";"21";"806";"Tidak Ada";"2";"31";"2018-08-28";"16:39:18"
"261";"21";"807";"Tidak Ada";"2";"31";"2018-08-28";"16:40:10"
"262";"21";"808";"Tidak Ada";"2";"31";"2018-08-28";"16:42:52"
"263";"21";"809";"Tidak Ada";"2";"31";"2018-08-28";"16:43:57"
"264";"179";"7695";"Tidak Ada";"2";"31";"2018-08-28";"16:45:48"
"265";"179";"7696";"Tidak Ada";"2";"31";"2018-08-28";"16:46:50"
"266";"179";"7697";"Tidak Ada";"2";"31";"2018-08-28";"16:48:35"
"267";"179";"7698";"Tidak Ada";"2";"31";"2018-08-28";"16:50:15"
"268";"179";"7699";"Tidak Ada";"2";"31";"2018-08-28";"16:54:13"
"269";"179";"7700";"Tidak Ada";"2";"31";"2018-08-28";"16:55:48"
"270";"179";"7701";"Tidak Ada";"2";"31";"2018-08-28";"16:56:53"
"271";"179";"7702";"Tidak Ada";"2";"31";"2018-08-28";"16:58:32"
"272";"179";"7703";"Tidak Ada";"2";"31";"2018-08-28";"16:59:30"
"273";"179";"7704";"Tidak Ada";"2";"31";"2018-08-28";"17:00:14"
"274";"179";"7705";"Tidak Ada";"2";"31";"2018-08-28";"17:01:43"
"275";"179";"7706";"Tidak Ada";"2";"31";"2018-08-28";"17:03:24"
"276";"215";"9276";"Tidak Ada";"2";"57";"2018-08-28";"17:04:41"
"277";"179";"7707";"Tidak Ada";"2";"31";"2018-08-28";"17:05:20"
"278";"179";"7708";"Tidak Ada";"2";"31";"2018-08-28";"17:06:55"
"279";"215";"9277";"Tidak Ada";"2";"57";"2018-08-28";"17:07:36"
"280";"215";"9278";"Tidak Ada";"2";"57";"2018-08-28";"17:09:41"
"281";"215";"9280";"Tidak Ada";"2";"57";"2018-08-28";"17:11:26"
"282";"179";"7709";"Tidak Ada";"2";"31";"2018-08-28";"17:14:53"
"283";"179";"7710";"Tidak Ada";"2";"31";"2018-08-28";"17:15:53"
"284";"179";"7711";"Tidak Ada";"2";"31";"2018-08-28";"17:17:09"
"285";"179";"7712";"Tidak Ada";"2";"31";"2018-08-28";"17:23:11"
"286";"179";"7713";"Tidak Ada";"2";"31";"2018-08-28";"17:24:01"
"287";"179";"7714";"Tidak Ada";"2";"31";"2018-08-28";"17:28:18"
"288";"179";"7715";"Tidak Ada";"2";"31";"2018-08-28";"17:30:30"
"289";"179";"7716";"Tidak Ada";"2";"31";"2018-08-28";"17:33:43"
"290";"179";"7717";"Tidak Ada";"2";"31";"2018-08-28";"17:35:07"
"291";"179";"7718";"Tidak Ada";"2";"31";"2018-08-28";"17:38:29"
"292";"179";"7719";"Tidak Ada";"2";"31";"2018-08-28";"17:39:44"
"293";"179";"7720";"Tidak Ada";"2";"31";"2018-08-28";"17:43:41"
"294";"3";"98";"Tidak Ada";"2";"2";"2018-08-28";"17:45:42"
"295";"3";"99";"Tidak Ada";"2";"2";"2018-08-28";"17:49:04"
"296";"179";"7721";"Tidak Ada";"2";"31";"2018-08-28";"17:53:28"
"297";"179";"7722";"Tidak Ada";"2";"31";"2018-08-28";"17:56:27"
"298";"179";"7723";"Tidak Ada";"2";"31";"2018-08-28";"17:57:16"
"299";"179";"7724";"Tidak Ada";"2";"31";"2018-08-28";"17:58:09"
"300";"179";"7725";"Tidak Ada";"2";"31";"2018-08-28";"18:01:28"
"301";"179";"7726";"Tidak Ada";"2";"31";"2018-08-28";"18:03:41"
"302";"179";"7727";"Tidak Ada";"2";"31";"2018-08-28";"18:05:44"
"303";"179";"7728";"Tidak Ada";"2";"31";"2018-08-28";"18:07:01"
"304";"179";"7729";"Tidak Ada";"2";"31";"2018-08-28";"18:10:39"
"305";"179";"7730";"Tidak Ada";"2";"31";"2018-08-28";"18:11:37"
"306";"179";"7731";"Tidak Ada";"2";"31";"2018-08-28";"18:22:56"
"307";"179";"7732";"Tidak Ada";"2";"31";"2018-08-28";"18:23:38"
"308";"179";"7733";"Tidak Ada";"2";"31";"2018-08-28";"18:26:26"
"309";"179";"7734";"Tidak Ada";"2";"31";"2018-08-28";"18:27:25"
"310";"179";"7735";"Tidak Ada";"2";"31";"2018-08-28";"18:28:33"
"311";"179";"7736";"Tidak Ada";"2";"31";"2018-08-28";"18:29:17"
"312";"179";"7737";"Tidak Ada";"2";"31";"2018-08-28";"18:29:44"
"313";"179";"7738";"Tidak Ada";"2";"31";"2018-08-28";"18:31:04"
"314";"179";"7739";"Tidak Ada";"2";"31";"2018-08-28";"18:31:39"
"315";"179";"7740";"Tidak Ada";"2";"31";"2018-08-28";"18:32:28"
"316";"197";"8582";"Tidak Ada";"2";"40";"2018-08-28";"19:35:03"
"317";"197";"8583";"Tidak Ada";"2";"40";"2018-08-28";"19:36:07"
"318";"197";"8584";"Tidak Ada";"2";"40";"2018-08-28";"19:38:25"
"319";"197";"8585";"Tidak Ada";"2";"40";"2018-08-28";"19:42:22"
"320";"197";"8586";"Tidak Ada";"2";"40";"2018-08-28";"19:44:32"
"321";"197";"8587";"Tidak Ada";"2";"40";"2018-08-28";"19:49:12"
"322";"197";"8588";"Tidak Ada";"2";"40";"2018-08-28";"19:52:39"
"323";"197";"8589";"Tidak Ada";"2";"40";"2018-08-28";"19:55:50"
"324";"100";"4135";"Tidak Ada";"2";"50";"2018-08-28";"19:59:55"
"325";"197";"8590";"Tidak Ada";"2";"40";"2018-08-28";"20:01:34"
"326";"197";"8591";"Tidak Ada";"2";"40";"2018-08-28";"20:03:22"
"327";"197";"8592";"Tidak Ada";"2";"40";"2018-08-28";"20:04:32"
"328";"197";"8593";"Tidak Ada";"2";"40";"2018-08-28";"20:08:21"
"329";"22";"820";"Tidak Ada";"2";"37";"2018-08-28";"20:11:34"
"330";"197";"8594";"Tidak Ada";"2";"40";"2018-08-28";"20:15:37"
"331";"22";"821";"Tidak Ada";"2";"37";"2018-08-28";"20:15:55"
"332";"197";"8595";"Tidak Ada";"2";"40";"2018-08-28";"20:16:58"
"333";"197";"8596";"Rp5 ribu";"2";"40";"2018-08-28";"20:27:47"
"334";"197";"8596";"Rp50 ribu";"2";"40";"2018-08-28";"20:28:04"
"335";"197";"8597";"Tidak Ada";"2";"40";"2018-08-28";"20:31:12"
"336";"197";"8598";"Tidak Ada";"2";"40";"2018-08-28";"20:32:42"
"337";"197";"8599";"Tidak Ada";"2";"40";"2018-08-28";"20:34:41"
"338";"197";"8600";"Tidak Ada";"2";"40";"2018-08-28";"20:35:31"
"339";"197";"8601";"Tidak Ada";"2";"40";"2018-08-28";"20:36:18"
"340";"197";"8602";"Tidak Ada";"2";"40";"2018-08-28";"20:38:38"
"341";"197";"8603";"Tidak Ada";"2";"40";"2018-08-28";"20:40:18"
"342";"197";"8604";"Tidak Ada";"2";"40";"2018-08-28";"20:41:44"
"343";"197";"8605";"Tidak Ada";"2";"40";"2018-08-28";"20:42:58"
