"id_event";"id_berita";"id_kalimat";"nama_event";"isValid";"id_submitter";"date_submit";"time_submit"
"48";"15";"587";"Tidak Ada";"2";"32";"2018-08-24";"23:49:45"
"49";"3";"110";"Tidak Ada";"1";"48";"2018-08-24";"23:51:11"
"50";"15";"588";"Tidak Ada";"1";"32";"2018-08-24";"23:52:38"
"51";"3";"111";"Tidak Ada";"1";"48";"2018-08-24";"23:53:42"
"52";"3";"92";"Honda Jazz Brio Tuning Contest 2017\.";"2";"32";"2018-08-24";"23:57:57"
"53";"3";"112";"Tidak Ada";"1";"48";"2018-08-25";"00:05:23"
"54";"3";"113";"Tidak Ada";"1";"48";"2018-08-25";"00:07:38"
"55";"3";"114";"Tidak Ada";"1";"48";"2018-08-25";"00:10:09"
"56";"3";"115";"Tidak Ada";"2";"48";"2018-08-25";"00:11:02"
"57";"3";"116";"Tidak Ada";"1";"48";"2018-08-25";"00:13:02"
"58";"3";"117";"Tidak Ada";"1";"48";"2018-08-25";"00:15:38"
"59";"3";"118";"Tidak Ada";"2";"48";"2018-08-25";"00:16:54"
"60";"109";"4445";"Tidak Ada";"2";"31";"2018-08-25";"13:24:31"
"61";"109";"4446";"Tidak Ada";"1";"31";"2018-08-25";"13:36:55"
"62";"109";"4447";"Tidak Ada";"2";"31";"2018-08-25";"13:51:37"
"63";"21";"777";"Tidak Ada";"1";"31";"2018-08-25";"14:32:31"
"64";"21";"778";"Tidak Ada";"1";"31";"2018-08-25";"14:34:29"
"65";"21";"779";"Tidak Ada";"1";"31";"2018-08-25";"14:35:51"
"66";"21";"780";"Tidak Ada";"1";"31";"2018-08-25";"14:37:44"
"67";"21";"781";"Tidak Ada";"1";"31";"2018-08-25";"14:42:51"
"68";"21";"782";"Tidak Ada";"1";"31";"2018-08-25";"14:44:54"
"69";"21";"783";"Tidak Ada";"1";"31";"2018-08-25";"14:47:02"
"70";"21";"784";"Tidak Ada";"1";"31";"2018-08-25";"14:48:27"
"71";"21";"785";"Tidak Ada";"1";"31";"2018-08-25";"14:50:44"
"72";"21";"786";"Tidak Ada";"1";"31";"2018-08-25";"14:51:50"
"73";"21";"787";"Tidak Ada";"1";"31";"2018-08-25";"14:52:40"
"74";"21";"788";"Tidak Ada";"1";"31";"2018-08-25";"14:53:33"
"75";"21";"789";"Tidak Ada";"1";"31";"2018-08-25";"14:58:04"
"76";"21";"790";"Tidak Ada";"1";"31";"2018-08-25";"14:59:10"
"77";"21";"791";"Tidak Ada";"1";"31";"2018-08-25";"15:00:38"
"78";"21";"792";"Tidak Ada";"1";"31";"2018-08-25";"15:01:21"
"79";"21";"793";"Tidak Ada";"1";"31";"2018-08-25";"15:02:59"
"80";"21";"794";"Tidak Ada";"1";"31";"2018-08-25";"15:04:04"
"81";"21";"795";"Tidak Ada";"1";"31";"2018-08-25";"15:05:27"
"82";"21";"796";"Tidak Ada";"1";"31";"2018-08-25";"15:06:17"
"83";"21";"797";"Tidak Ada";"1";"31";"2018-08-25";"15:07:16"
"84";"21";"798";"Tidak Ada";"1";"31";"2018-08-25";"15:08:18"
"85";"21";"799";"Tidak Ada";"1";"31";"2018-08-25";"15:14:06"
"86";"21";"800";"Tidak Ada";"1";"31";"2018-08-25";"15:15:06"
"87";"21";"801";"Tidak Ada";"1";"31";"2018-08-25";"15:16:48"
"88";"21";"802";"Tidak Ada";"1";"31";"2018-08-25";"15:17:34"
"89";"23";"852";"MotoGP";"1";"35";"2018-08-25";"15:54:50"
"90";"23";"853";"Tidak Ada";"1";"35";"2018-08-25";"16:02:20"
"91";"23";"854";"Moto2";"1";"35";"2018-08-25";"16:03:25"
"92";"23";"854";"Moto3";"1";"35";"2018-08-25";"16:04:32"
"93";"23";"855";"MotoGP";"1";"35";"2018-08-25";"16:06:53"
"94";"23";"856";"Tidak Ada";"1";"35";"2018-08-25";"16:10:36"
"95";"23";"857";"kelas 500cc";"0";"35";"2018-08-25";"16:12:15"
"96";"23";"858";"Tidak Ada";"1";"35";"2018-08-25";"16:14:57"
"97";"23";"859";"Tidak Ada";"1";"35";"2018-08-25";"16:20:14"
"98";"23";"860";"Tidak Ada";"1";"35";"2018-08-25";"16:25:06"
"99";"109";"4445";"Tolerance Film Festival";"1";"32";"2018-08-25";"16:42:47"
"100";"109";"4446";"Tidak Ada";"1";"32";"2018-08-25";"16:49:01"
"101";"109";"4447";"Tidak Ada";"1";"32";"2018-08-25";"16:50:17"
"102";"109";"4448";"Perang Dunia II";"1";"32";"2018-08-25";"16:51:52"
"103";"109";"4449";"Tidak Ada";"1";"32";"2018-08-25";"16:53:31"
"104";"109";"4450";"Tidak Ada";"1";"32";"2018-08-25";"16:58:10"
"105";"23";"861";"Tidak Ada";"1";"35";"2018-08-25";"16:58:21"
"106";"109";"4451";"Tidak Ada";"1";"32";"2018-08-25";"16:59:51"
"107";"109";"4452";"Tidak Ada";"1";"32";"2018-08-25";"17:02:24"
"108";"109";"4453";"Tidak Ada";"1";"32";"2018-08-25";"17:05:56"
"109";"23";"862";"Tidak Ada";"1";"35";"2018-08-25";"17:19:51"
"110";"23";"863";"Grand Prix";"1";"35";"2018-08-25";"17:22:57"
"111";"23";"864";"Tidak Ada";"1";"35";"2018-08-25";"17:24:31"
"112";"23";"865";"Tidak Ada";"1";"35";"2018-08-25";"17:28:53"
"113";"23";"866";"Tidak Ada";"1";"35";"2018-08-25";"17:33:01"
"114";"23";"867";"Tidak Ada";"1";"35";"2018-08-25";"17:36:35"
"115";"23";"868";"Tidak Ada";"1";"35";"2018-08-25";"17:38:22"
"116";"23";"869";"Tidak Ada";"1";"35";"2018-08-25";"17:41:10"
"117";"35";"1566";"Mars 2020";"0";"34";"2018-08-27";"11:16:06"
"118";"35";"1567";"dokumentasi wilayah";"0";"34";"2018-08-27";"11:19:59"
"119";"35";"1567";"penjelajahan area baru";"0";"34";"2018-08-27";"11:20:12"
"120";"35";"1568";"foto";"0";"34";"2018-08-27";"11:22:00"
"121";"35";"1569";"dokumentasi";"0";"34";"2018-08-27";"11:24:53"
"122";"197";"8572";"Tidak Ada";"1";"35";"2018-08-27";"13:21:18"
"123";"22";"842";"Tidak Ada";"1";"37";"2018-08-27";"17:23:51"
"124";"22";"843";"Tidak Ada";"1";"37";"2018-08-27";"17:37:42"
"125";"22";"844";"Tidak Ada";"1";"37";"2018-08-27";"17:55:04"
"126";"22";"845";"Tidak Ada";"1";"37";"2018-08-27";"17:56:44"
"127";"22";"846";"Tidak Ada";"1";"37";"2018-08-27";"18:00:28"
"128";"23";"870";"Tidak Ada";"1";"35";"2018-08-27";"18:05:17"
"129";"197";"8572";"Tidak Ada";"1";"40";"2018-08-27";"18:12:03"
"130";"197";"8573";"Tidak Ada";"1";"40";"2018-08-27";"18:15:51"
"131";"197";"8574";"Tidak Ada";"1";"40";"2018-08-27";"18:18:24"
"132";"23";"871";"Tidak Ada";"1";"35";"2018-08-27";"18:26:21"
"133";"23";"872";"Tidak Ada";"1";"35";"2018-08-27";"18:34:12"
"134";"197";"8575";"Tidak Ada";"1";"40";"2018-08-27";"18:36:48"
"135";"197";"8578";"Tidak Ada";"2";"40";"2018-08-27";"18:45:40"
"136";"197";"8579";"Tidak Ada";"1";"40";"2018-08-27";"18:47:58"
"137";"197";"8580";"Tidak Ada";"1";"40";"2018-08-27";"18:51:09"
"138";"197";"8581";"Tidak Ada";"1";"40";"2018-08-27";"18:52:47"
"139";"22";"847";"Tidak Ada";"1";"37";"2018-08-27";"18:54:59"
"140";"23";"873";"Tidak Ada";"1";"35";"2018-08-27";"19:05:34"
"141";"22";"848";"Tidak Ada";"1";"37";"2018-08-27";"19:05:56"
"142";"22";"849";"Tidak Ada";"1";"37";"2018-08-27";"19:11:32"
"143";"100";"4134";"Tidak Ada";"2";"50";"2018-08-27";"19:18:37"
"144";"23";"874";"Tidak Ada";"1";"35";"2018-08-27";"19:19:15"
"145";"22";"850";"Tidak Ada";"1";"37";"2018-08-27";"19:30:29"
"146";"199";"8666";"kampanye";"2";"57";"2018-08-27";"19:31:13"
"147";"199";"8667";"memperingati Hari Anak Internasional";"0";"57";"2018-08-27";"19:35:25"
"148";"199";"8668";"Kampanye";"2";"57";"2018-08-27";"19:41:57"
"149";"199";"8669";"Badan Perserikatan Bangsa-Bangsa \(PBB\) ini mengundang anak dari seluruh dunia";"0";"57";"2018-08-27";"19:48:51"
"150";"199";"8670";"Tidak Ada";"1";"57";"2018-08-27";"19:53:43"
"151";"199";"8671";"Tidak Ada";"1";"57";"2018-08-27";"19:59:57"
"152";"199";"8672";"kampanye";"2";"57";"2018-08-27";"20:04:09"
"153";"199";"8673";"Tidak Ada";"1";"57";"2018-08-27";"20:08:39"
"154";"199";"8674";"Kampanye";"2";"57";"2018-08-27";"20:11:38"
"155";"199";"8675";"safari";"2";"57";"2018-08-27";"20:16:26"
"156";"199";"8676";"Tidak Ada";"1";"57";"2018-08-27";"20:19:57"
"157";"199";"8677";"Tidak Ada";"2";"57";"2018-08-27";"20:25:25"
"158";"22";"810";"Tidak Ada";"2";"37";"2018-08-27";"20:28:44"
"159";"199";"8678";"Tidak Ada";"1";"57";"2018-08-27";"20:38:10"
"160";"199";"8679";"Tidak Ada";"2";"57";"2018-08-27";"20:47:48"
"161";"199";"8680";"Gerakan Stop Perkawinan Anak";"2";"57";"2018-08-27";"20:52:00"
"162";"199";"8681";"Tidak Ada";"1";"57";"2018-08-27";"20:55:10"
"163";"199";"8682";"Tidak Ada";"1";"57";"2018-08-27";"20:59:06"
"164";"199";"8683";"Tidak Ada";"1";"57";"2018-08-27";"21:03:20"
"165";"199";"8684";"mempelajari data perkawinan anak \(dini\) di Indonesia\.";"2";"57";"2018-08-27";"21:14:02"
"166";"199";"8685";"Tidak Ada";"2";"57";"2018-08-27";"21:22:53"
"167";"199";"8686";"Tidak Ada";"2";"57";"2018-08-27";"21:29:53"
"168";"199";"8687";"Tidak Ada";"1";"57";"2018-08-27";"21:35:41"
"169";"199";"8688";"Tidak Ada";"1";"57";"2018-08-27";"21:47:29"
"170";"199";"8689";"Tidak Ada";"1";"57";"2018-08-27";"21:54:20"
"171";"199";"8690";"Tidak Ada";"1";"57";"2018-08-27";"21:58:32"
"172";"199";"8691";"Tidak Ada";"1";"57";"2018-08-27";"22:06:23"
"173";"199";"8692";"Tidak Ada";"1";"57";"2018-08-27";"22:11:00"
"174";"199";"8693";"Tidak Ada";"1";"57";"2018-08-27";"22:14:27"
"175";"199";"8694";"Tidak Ada";"1";"57";"2018-08-27";"22:20:04"
"176";"199";"8695";"Tidak Ada";"1";"57";"2018-08-27";"22:24:14"
"177";"22";"811";"Tidak Ada";"1";"37";"2018-08-27";"22:26:43"
"178";"199";"8696";"Tidak Ada";"1";"57";"2018-08-27";"22:29:32"
"179";"22";"812";"Tidak Ada";"1";"37";"2018-08-27";"22:42:15"
"180";"22";"813";"kampanye Pilkada 2017";"0";"37";"2018-08-27";"22:46:20"
"181";"199";"8697";"Tidak Ada";"2";"57";"2018-08-27";"22:54:13"
"182";"199";"8698";"Tidak Ada";"2";"57";"2018-08-27";"22:59:07"
"183";"199";"8699";"Tidak Ada";"2";"57";"2018-08-27";"23:03:15"
"184";"22";"814";"Tidak Ada";"2";"37";"2018-08-27";"23:03:16"
"185";"199";"8700";"Tidak Ada";"2";"57";"2018-08-27";"23:05:23"
"186";"199";"8701";"Tidak Ada";"2";"57";"2018-08-27";"23:07:43"
"187";"199";"8702";"Tidak Ada";"2";"57";"2018-08-27";"23:12:03"
"188";"199";"8703";"Tidak Ada";"2";"57";"2018-08-27";"23:23:29"
"189";"199";"8704";"Tidak Ada";"2";"57";"2018-08-27";"23:27:05"
"190";"22";"815";"Tidak Ada";"2";"37";"2018-08-27";"23:28:49"
"191";"199";"8705";"Tidak Ada";"2";"57";"2018-08-27";"23:29:25"
"192";"199";"8706";"Tidak Ada";"2";"57";"2018-08-27";"23:32:07"
"193";"199";"8707";"Tidak Ada";"2";"57";"2018-08-27";"23:34:16"
"194";"199";"8708";"Tidak Ada";"2";"57";"2018-08-27";"23:36:02"
"195";"199";"8709";"Tidak Ada";"2";"57";"2018-08-27";"23:38:22"
"196";"199";"8710";"Tidak Ada";"2";"57";"2018-08-27";"23:42:33"
"197";"199";"8711";"Tidak Ada";"2";"57";"2018-08-27";"23:47:57"
"198";"199";"8712";"Tidak Ada";"2";"57";"2018-08-27";"23:53:59"
"199";"199";"8713";"Tidak Ada";"2";"57";"2018-08-27";"23:56:44"
"200";"22";"816";"Tidak Ada";"2";"37";"2018-08-28";"00:01:25"
"201";"199";"8714";"Tidak Ada";"2";"57";"2018-08-28";"00:02:32"
"202";"22";"817";"Tidak Ada";"2";"37";"2018-08-28";"00:04:30"
"203";"199";"8715";"Tidak Ada";"2";"57";"2018-08-28";"00:07:49"
"204";"199";"8716";"Tidak Ada";"2";"57";"2018-08-28";"00:10:44"
"205";"199";"8717";"Tidak Ada";"2";"57";"2018-08-28";"00:12:43"
"206";"199";"8718";"Tidak Ada";"2";"57";"2018-08-28";"00:15:00"
"207";"199";"8719";"Tidak Ada";"2";"57";"2018-08-28";"00:19:05"
"208";"199";"8720";"Tidak Ada";"2";"57";"2018-08-28";"00:22:16"
"209";"199";"8721";"Tidak Ada";"2";"57";"2018-08-28";"00:26:30"
"210";"199";"8722";"Kampanye";"2";"57";"2018-08-28";"00:29:17"
"211";"199";"8723";"Tidak Ada";"2";"57";"2018-08-28";"00:32:23"
"212";"199";"8724";"Tidak Ada";"2";"57";"2018-08-28";"00:35:24"
"213";"199";"8725";"Tidak Ada";"2";"57";"2018-08-28";"00:38:39"
"214";"199";"8726";"Hari Anak Internasional";"2";"57";"2018-08-28";"00:41:26"
"215";"199";"8727";"Indonesia Layak Anak 2030";"2";"57";"2018-08-28";"00:43:52"
"216";"215";"9293";"Tidak Ada";"2";"57";"2018-08-28";"01:21:23"
"217";"22";"818";"Tidak Ada";"2";"37";"2018-08-28";"01:25:18"
"218";"22";"819";"Tidak Ada";"2";"37";"2018-08-28";"01:27:18"
"219";"199";"8666";"kampanye";"2";"62";"2018-08-28";"10:30:52"
"220";"199";"8667";"Hari Anak Internasional";"2";"62";"2018-08-28";"10:36:15"
"221";"199";"8668";"kampanye";"2";"62";"2018-08-28";"10:40:19"
"222";"199";"8669";"Tidak Ada";"2";"62";"2018-08-28";"10:44:41"
"223";"215";"9263";"Tidak Ada";"2";"57";"2018-08-28";"11:00:19"
"224";"199";"8670";"Tidak Ada";"2";"62";"2018-08-28";"11:08:42"
"225";"215";"9264";"Tidak Ada";"2";"57";"2018-08-28";"11:15:54"
"226";"199";"8671";"Tidak Ada";"2";"62";"2018-08-28";"11:16:04"
"227";"199";"8672";"kampanye gerakan stop perkawinan anak";"2";"62";"2018-08-28";"11:18:40"
"228";"199";"8673";"Tidak Ada";"2";"62";"2018-08-28";"11:20:50"
"229";"199";"8674";"Kampanye";"2";"62";"2018-08-28";"11:22:45"
"230";"199";"8675";"Hari Anak Internasional";"2";"62";"2018-08-28";"11:26:24"
"231";"215";"9265";"Tidak Ada";"2";"57";"2018-08-28";"11:27:29"
"232";"199";"8676";"Tidak Ada";"2";"62";"2018-08-28";"11:29:44"
"233";"215";"9266";"Tidak Ada";"2";"57";"2018-08-28";"11:29:52"
"234";"215";"9267";"Tidak Ada";"2";"57";"2018-08-28";"11:31:54"
"235";"199";"8677";"Tidak Ada";"2";"62";"2018-08-28";"11:32:29"
"236";"199";"8678";"Tidak Ada";"2";"62";"2018-08-28";"11:33:50"
"237";"215";"9268";"Tidak Ada";"2";"57";"2018-08-28";"11:34:04"
"238";"215";"9269";"Tidak Ada";"2";"57";"2018-08-28";"11:36:10"
"239";"215";"9270";"Tidak Ada";"2";"57";"2018-08-28";"11:39:02"
"240";"199";"8679";"Tidak Ada";"2";"62";"2018-08-28";"11:41:20"
"241";"215";"9271";"Tidak Ada";"2";"57";"2018-08-28";"11:42:09"
"242";"215";"9272";"Tidak Ada";"2";"57";"2018-08-28";"11:43:50"
"243";"199";"8680";"Tidak Ada";"2";"62";"2018-08-28";"11:43:59"
"244";"215";"9273";"Tidak Ada";"2";"57";"2018-08-28";"11:45:52"
"245";"199";"8681";"Tidak Ada";"2";"62";"2018-08-28";"11:47:12"
"246";"215";"9274";"Tidak Ada";"2";"57";"2018-08-28";"11:47:26"
"247";"199";"8682";"Tidak Ada";"2";"62";"2018-08-28";"11:49:16"
"248";"215";"9275";"Tidak Ada";"2";"57";"2018-08-28";"11:50:01"
"249";"21";"803";"Tidak Ada";"2";"31";"2018-08-28";"16:36:44"
"250";"21";"804";"Tidak Ada";"2";"31";"2018-08-28";"16:37:44"
"251";"21";"805";"Tidak Ada";"2";"31";"2018-08-28";"16:38:37"
"252";"21";"806";"Tidak Ada";"2";"31";"2018-08-28";"16:39:20"
"253";"21";"807";"Tidak Ada";"2";"31";"2018-08-28";"16:40:09"
"254";"21";"808";"Tidak Ada";"2";"31";"2018-08-28";"16:42:54"
"255";"21";"809";"Tidak Ada";"2";"31";"2018-08-28";"16:43:54"
"256";"179";"7695";"Tidak Ada";"2";"31";"2018-08-28";"16:45:40"
"257";"179";"7696";"Tidak Ada";"2";"31";"2018-08-28";"16:46:49"
"258";"179";"7697";"Tidak Ada";"2";"31";"2018-08-28";"16:48:32"
"259";"179";"7698";"Tidak Ada";"2";"31";"2018-08-28";"16:50:06"
"260";"179";"7699";"Tidak Ada";"2";"31";"2018-08-28";"16:54:11"
"261";"179";"7700";"Tidak Ada";"2";"31";"2018-08-28";"16:55:45"
"262";"179";"7701";"Tidak Ada";"2";"31";"2018-08-28";"16:56:57"
"263";"179";"7702";"Tidak Ada";"2";"31";"2018-08-28";"16:58:30"
"264";"179";"7703";"Tidak Ada";"2";"31";"2018-08-28";"16:59:33"
"265";"179";"7704";"Tidak Ada";"2";"31";"2018-08-28";"17:00:07"
"266";"179";"7705";"Tidak Ada";"2";"31";"2018-08-28";"17:01:42"
"267";"179";"7706";"Tidak Ada";"2";"31";"2018-08-28";"17:03:21"
"268";"215";"9276";"Tidak Ada";"2";"57";"2018-08-28";"17:04:36"
"269";"179";"7707";"Tidak Ada";"2";"31";"2018-08-28";"17:05:18"
"270";"179";"7708";"Tidak Ada";"2";"31";"2018-08-28";"17:06:49"
"271";"215";"9277";"Tidak Ada";"2";"57";"2018-08-28";"17:07:32"
"272";"215";"9278";"Tidak Ada";"2";"57";"2018-08-28";"17:09:38"
"273";"215";"9280";"Tidak Ada";"2";"57";"2018-08-28";"17:11:22"
"274";"179";"7709";"Tidak Ada";"2";"31";"2018-08-28";"17:14:51"
"275";"179";"7710";"Tidak Ada";"2";"31";"2018-08-28";"17:15:51"
"276";"179";"7711";"Tidak Ada";"2";"31";"2018-08-28";"17:17:06"
"277";"179";"7712";"Tidak Ada";"2";"31";"2018-08-28";"17:23:08"
"278";"179";"7713";"Tidak Ada";"2";"31";"2018-08-28";"17:23:59"
"279";"179";"7714";"Tidak Ada";"2";"31";"2018-08-28";"17:28:16"
"280";"179";"7715";"Tidak Ada";"2";"31";"2018-08-28";"17:30:27"
"281";"179";"7716";"Tidak Ada";"2";"31";"2018-08-28";"17:33:45"
"282";"179";"7717";"Tidak Ada";"2";"31";"2018-08-28";"17:35:04"
"283";"179";"7718";"Tidak Ada";"2";"31";"2018-08-28";"17:38:31"
"284";"179";"7719";"Tidak Ada";"2";"31";"2018-08-28";"17:39:42"
"285";"179";"7720";"Tidak Ada";"2";"31";"2018-08-28";"17:43:39"
"286";"3";"98";"Tidak Ada";"2";"2";"2018-08-28";"17:45:37"
"287";"3";"99";"Tidak Ada";"2";"2";"2018-08-28";"17:49:01"
"288";"179";"7721";"Tidak Ada";"2";"31";"2018-08-28";"17:53:31"
"289";"179";"7722";"Tidak Ada";"2";"31";"2018-08-28";"17:56:25"
"290";"179";"7723";"Tidak Ada";"2";"31";"2018-08-28";"17:57:14"
"291";"179";"7724";"Tidak Ada";"2";"31";"2018-08-28";"17:58:08"
"292";"179";"7725";"Tidak Ada";"2";"31";"2018-08-28";"18:01:30"
"293";"179";"7726";"Tidak Ada";"2";"31";"2018-08-28";"18:03:37"
"294";"179";"7727";"Tidak Ada";"2";"31";"2018-08-28";"18:05:41"
"295";"179";"7728";"Tidak Ada";"2";"31";"2018-08-28";"18:07:00"
"296";"179";"7729";"Tidak Ada";"2";"31";"2018-08-28";"18:10:36"
"297";"179";"7730";"Tidak Ada";"2";"31";"2018-08-28";"18:11:35"
"298";"179";"7731";"Tidak Ada";"2";"31";"2018-08-28";"18:22:51"
"299";"179";"7732";"Tidak Ada";"2";"31";"2018-08-28";"18:23:36"
"300";"179";"7733";"Tidak Ada";"2";"31";"2018-08-28";"18:26:23"
"301";"179";"7734";"Tidak Ada";"2";"31";"2018-08-28";"18:27:23"
"302";"179";"7735";"Tidak Ada";"2";"31";"2018-08-28";"18:28:31"
"303";"179";"7736";"Tidak Ada";"2";"31";"2018-08-28";"18:29:06"
"304";"179";"7737";"Tidak Ada";"2";"31";"2018-08-28";"18:29:42"
"305";"179";"7738";"Tidak Ada";"2";"31";"2018-08-28";"18:31:02"
"306";"179";"7739";"Tidak Ada";"2";"31";"2018-08-28";"18:31:37"
"307";"179";"7740";"Tidak Ada";"2";"31";"2018-08-28";"18:32:24"
"308";"197";"8582";"Tidak Ada";"2";"40";"2018-08-28";"19:34:59"
"309";"197";"8583";"Tidak Ada";"2";"40";"2018-08-28";"19:36:04"
"310";"197";"8584";"Tidak Ada";"2";"40";"2018-08-28";"19:38:22"
"311";"197";"8585";"Tidak Ada";"2";"40";"2018-08-28";"19:42:18"
"312";"197";"8586";"Tidak Ada";"2";"40";"2018-08-28";"19:44:29"
"313";"197";"8587";"Tidak Ada";"2";"40";"2018-08-28";"19:49:09"
"314";"197";"8588";"Tidak Ada";"2";"40";"2018-08-28";"19:52:36"
"315";"197";"8589";"Tidak Ada";"2";"40";"2018-08-28";"19:55:47"
"316";"100";"4135";"Tidak Ada";"2";"50";"2018-08-28";"19:59:35"
"317";"197";"8590";"Tidak Ada";"2";"40";"2018-08-28";"20:01:29"
"318";"197";"8591";"Tidak Ada";"2";"40";"2018-08-28";"20:03:18"
"319";"197";"8592";"Tidak Ada";"2";"40";"2018-08-28";"20:04:29"
"320";"197";"8593";"Tidak Ada";"2";"40";"2018-08-28";"20:08:16"
"321";"22";"820";"Tidak Ada";"2";"37";"2018-08-28";"20:11:32"
"322";"197";"8594";"Tidak Ada";"2";"40";"2018-08-28";"20:15:27"
"323";"22";"821";"Tidak Ada";"2";"37";"2018-08-28";"20:15:54"
"324";"197";"8595";"Tidak Ada";"2";"40";"2018-08-28";"20:16:55"
"325";"197";"8596";"Tidak Ada";"2";"40";"2018-08-28";"20:28:57"
"326";"197";"8597";"Tidak Ada";"2";"40";"2018-08-28";"20:31:08"
"327";"197";"8598";"Tidak Ada";"2";"40";"2018-08-28";"20:32:40"
"328";"197";"8599";"Tidak Ada";"2";"40";"2018-08-28";"20:34:38"
"329";"197";"8600";"Tidak Ada";"2";"40";"2018-08-28";"20:35:28"
"330";"197";"8601";"Tidak Ada";"2";"40";"2018-08-28";"20:36:16"
"331";"197";"8602";"Tidak Ada";"2";"40";"2018-08-28";"20:38:33"
"332";"197";"8603";"Tidak Ada";"2";"40";"2018-08-28";"20:40:16"
"333";"197";"8604";"Tidak Ada";"2";"40";"2018-08-28";"20:41:41"
"334";"197";"8605";"Tidak Ada";"2";"40";"2018-08-28";"20:42:49"
"335";"197";"8606";"Tidak Ada";"2";"40";"2018-08-28";"20:44:08"
"336";"197";"8607";"Tidak Ada";"2";"40";"2018-08-28";"20:46:34"
