"id_geolokasi";"id_berita";"id_kalimat";"desa";"kota";"kabupaten";"propinsi";"negara";"nama_tempat";"isCorrect";"isValid";"id_submitter";"date_submit";"time_submit"
"70";"15";"583";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Kalimantan Utara";"Tidak Ada";"Tidak Ada";"1";"2";"32";"2018-08-24";"23:45:43"
"71";"15";"583";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Kalimantan Timur";"Tidak Ada";"Tidak Ada";"1";"2";"32";"2018-08-24";"23:45:58"
"72";"15";"583";"Tidak Ada";"Tidak Ada";"Tidak Ada";"DKI Jakarta";"Tidak Ada";"Tidak Ada";"1";"2";"32";"2018-08-24";"23:46:09"
"73";"3";"108";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:46:17"
"74";"3";"108";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:46:23"
"75";"3";"109";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:48:31"
"76";"15";"587";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Nusa Tenggara Timur";"Tidak Ada";"Tidak Ada";"1";"2";"32";"2018-08-24";"23:49:14"
"77";"3";"110";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:50:48"
"78";"3";"110";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:50:57"
"79";"15";"588";"Tidak Ada";"Tidak Ada";"Tidak Ada";"NTT";"Tidak Ada";"Tidak Ada";"1";"2";"32";"2018-08-24";"23:51:56"
"80";"15";"588";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Aceh";"Tidak Ada";"Tidak Ada";"1";"2";"32";"2018-08-24";"23:52:05"
"81";"3";"111";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:53:25"
"82";"3";"111";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:53:31"
"83";"3";"92";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"32";"2018-08-24";"23:55:28"
"84";"3";"112";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-25";"00:04:26"
"85";"3";"113";"Tidak Ada";"Tidak Ada";"Pekanbaru";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-25";"00:07:25"
"86";"3";"114";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-25";"00:09:58"
"87";"3";"115";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-25";"00:10:43"
"88";"3";"115";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-25";"00:10:49"
"89";"3";"116";"Tidak Ada";"Tidak Ada";"Bandung";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-25";"00:12:11"
"90";"3";"117";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-25";"00:15:19"
"91";"3";"117";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-25";"00:15:28"
"92";"3";"118";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-25";"00:16:44"
"93";"109";"4445";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Jakarta";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"13:27:13"
"94";"109";"4446";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"13:36:17"
"95";"109";"4446";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"13:36:30"
"96";"109";"4447";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"13:51:14"
"97";"109";"4447";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"13:51:21"
"98";"21";"777";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Toronto";"Kanada";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:29:50"
"99";"21";"778";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Toronto";"Kanada";"June's HIV\+ Eatery";"1";"2";"31";"2018-08-25";"14:33:13"
"100";"21";"779";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:35:24"
"101";"21";"780";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:37:06"
"102";"21";"781";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:42:33"
"103";"21";"782";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Kanada";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:44:16"
"104";"21";"783";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"resto June's HIV\+ Eatery";"1";"2";"31";"2018-08-25";"14:45:16"
"105";"22";"842";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"37";"2018-08-25";"14:47:44"
"106";"21";"784";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:48:15"
"107";"21";"785";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:50:33"
"108";"22";"842";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"37";"2018-08-25";"14:50:44"
"109";"21";"786";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:51:41"
"110";"21";"787";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:52:33"
"111";"21";"788";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"tempat layanan kesehatan";"1";"0";"31";"2018-08-25";"14:53:23"
"112";"21";"789";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:57:57"
"113";"21";"790";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:58:59"
"114";"21";"791";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:00:31"
"115";"21";"792";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:01:02"
"116";"21";"793";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:02:40"
"117";"21";"794";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Toronto Star";"1";"0";"31";"2018-08-25";"15:03:52"
"118";"21";"795";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:05:13"
"119";"21";"796";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:06:06"
"120";"21";"797";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Resto June's";"1";"2";"31";"2018-08-25";"15:06:45"
"121";"21";"798";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:08:10"
"122";"21";"799";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:13:43"
"123";"21";"799";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:13:53"
"124";"21";"800";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:14:42"
"125";"21";"801";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:16:32"
"126";"21";"802";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:17:28"
"127";"23";"852";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"35";"2018-08-25";"15:55:11"
"128";"23";"853";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Spanyol";"Tidak Ada";"1";"1";"35";"2018-08-25";"16:00:40"
"129";"23";"854";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:05:18"
"130";"23";"855";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:07:47"
"131";"23";"856";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:10:44"
"132";"23";"857";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:12:56"
"133";"23";"858";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:14:33"
"134";"23";"859";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:19:49"
"135";"23";"860";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:24:49"
"136";"109";"4445";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Jakarta";"Tidak Ada";"america";"1";"0";"32";"2018-08-25";"16:41:47"
"137";"109";"4446";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"32";"2018-08-25";"16:48:41"
"138";"109";"4447";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"32";"2018-08-25";"16:49:53"
"139";"109";"4448";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"32";"2018-08-25";"16:51:24"
"140";"109";"4449";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"32";"2018-08-25";"16:53:19"
"141";"23";"861";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:57:46"
"142";"109";"4450";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"32";"2018-08-25";"16:58:00"
"143";"109";"4451";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"0";"32";"2018-08-25";"16:59:19"
"144";"109";"4452";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Den Haag";"Belanda";"Tidak Ada";"1";"2";"32";"2018-08-25";"17:02:04"
"145";"23";"862";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"35";"2018-08-25";"17:03:54"
"146";"109";"4453";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"rumah-rumah penduduk";"1";"0";"32";"2018-08-25";"17:05:18"
"147";"23";"863";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"35";"2018-08-25";"17:23:09"
"148";"23";"864";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"35";"2018-08-25";"17:24:36"
"149";"23";"865";"Tidak Ada";"Tidak Ada";"Cervera";"Tidak Ada";"Spanyol";"Tidak Ada";"1";"2";"35";"2018-08-25";"17:26:07"
"150";"23";"865";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Valencia";"Spanyol";"Sirkuit Ricardo Tormo";"1";"2";"35";"2018-08-25";"17:28:06"
"151";"23";"866";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"35";"2018-08-25";"17:33:08"
"152";"23";"867";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"35";"2018-08-25";"17:36:14"
"153";"23";"868";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"35";"2018-08-25";"17:38:27"
"154";"23";"869";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"35";"2018-08-25";"17:40:49"
"155";"35";"1566";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"34";"2018-08-27";"11:18:42"
"156";"35";"1567";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"34";"2018-08-27";"11:21:10"
"157";"35";"1568";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"34";"2018-08-27";"11:23:56"
